Unnamed: 0,text,code,task_id,test_list
92,The code calculates the value of a number raised to a certain power using a recursive function.,"
public static int power(int a, int b) {
        if (b == 0) {
            return 1;
        } else if (a == 0) {
            return 0;
        } else if (b == 1) {
            return a;
        } else {
            return a * power(a, b - 1);
        }
}
",93,"
[assert power(3, 4) == 81;
,
assert power(2, 3) == 8;
,
assert power(5, 5) == 3125;
]
"
95,The given code calculates the number of divisors of a given integer by checking all numbers from 1 up to the given number to see if they divide evenly into it.,"
public static int divisor(int n) {
        int x = 0;
        for (int i = 1; i <= n; i++) {
            if (n % i == 0) {
                x++;
            }
        }
        return x;
}
",96,"
[assert divisor(15) == 4;
,
assert divisor(12) == 6;
,
assert divisor(9) == 3;]
"
125,The given code calculates the sum of common divisors of two given numbers by iterating through all possible divisors and checking if they are common to both numbers.,"
public static int sum(int a, int b) {
        int sum = 0;
        for (int i = 1; i < Math.min(a, b); i++) {
            if (a % i == 0 && b % i == 0) {
                sum += i;
            }
        }
        return sum;
}
",126,"
[assert sum(10, 15) == 6
,
assert sum(100, 150) == 93;
,
assert sum(4, 6) == 3;]
"
128,"The given code checks if a given square matrix is a magic square by verifying that the sum of all rows, columns, and diagonals are equal.","
public static boolean magicSquareTest(int[][] myMatrix) {
        int iSize = myMatrix[0].length;
        int[] sumList = new int[2 * iSize + 2];
        int index = 0;

        for (int[] lines : myMatrix) {
            int sum = 0;
            for (int value : lines) {
                sum += value;
            }
            sumList[index++] = sum;
        }

        for (int col = 0; col < iSize; col++) {
            int sum = 0;
            for (int row = 0; row < iSize; row++) {
                sum += myMatrix[row][col];
            }
            sumList[index++] = sum;
        }

        int result1 = 0;
        for (int i = 0; i < iSize; i++) {
            result1 += myMatrix[i][i];
        }
        sumList[index++] = result1;

        int result2 = 0;
        for (int i = iSize - 1; i >= 0; i--) {
            result2 += myMatrix[i][i];
        }
        sumList[index++] = result2;

        Set<Integer> uniqueSums = new HashSet<>();
        for (int sum : sumList) {
            uniqueSums.add(sum);
        }

        return uniqueSums.size() <= 1;
}
",129,"
[assert magicSquareTest(new int[][]{{7, 12, 1, 14}, {2, 13, 8, 11}, {16, 3, 10, 5}, {9, 6, 15, 4}}) == true;
,
assert magicSquareTest(new int[][]{{2, 7, 6}, {9, 5, 1}, {4, 3, 8}}) == true;
,
assert magicSquareTest(new int[][]{{2, 7, 6}, {9, 5, 1}, {4, 3, 7}}) == false;]
"
149,The given Java code checks if a number b is present in an infinite arithmetic sequence that starts with a and has a common difference of c.,"
public static boolean doesContainB(int a, int b, int c) { 
	    if (a == b) { 
	        return true; 
	    } 
	    if ((b - a) * c > 0 && (b - a) % c == 0) { 
	        return true; 
	    } 
	    return false; 
}
",150,"
[assert doesContainB(1, 7, 3) == true;
,
assert doesContainB(1, -3, 5) == false;
,
assert doesContainB(3, 2, 5) == false;]
"
170,The given code calculates the perimeter of a regular pentagon by multiplying the length of one side by 5.,"
public static double perimeterPentagon(double a) {
        double perimeter = 5 * a;
        return perimeter;
}
",171,"
[assert perimeterPentagon(5) == 25;
,
assert perimeterPentagon(10) == 50;
,
assert perimeterPentagon(15) == 75;]
"
188,The given code finds the first missing positive integer in an array by modifying the array in-place and utilizing the sign of the elements to mark presence of numbers.,"
public static int firstMissingPositive(int[] arr, int n) {
        int ptr = 0;
        for (int i = 0; i < n; i++) {
            if (arr[i] == 1) {
                ptr = 1;
                break;
            }
        }
        if (ptr == 0) {
            return 1;
        }
        for (int i = 0; i < n; i++) {
            if (arr[i] <= 0 || arr[i] > n) {
                arr[i] = 1;
            }
        }
        for (int i = 0; i < n; i++) {
            arr[(arr[i] - 1) % n] += n;
        }
        for (int i = 0; i < n; i++) {
            if (arr[i] <= n) {
                return i + 1;
            }
        }
        return n + 1;
    }
",189,"
[assert firstMissingPositive(new int[]{1, 2, 3, -1, 5}, 5) == 4;
,
assert firstMissingPositive(new int[]{0, -1, -2, 1, 5, 8}, 6) == 2;
,
assert firstMissingPositive(new int[]{0, 1, 2, 5, -8}, 5) == 3;]
"
196,The given code calculates the exponentiation of corresponding elements from two input arrays and returns the results as a new array.,"
public static int[] findExponentio(int[] testTup1, int[] testTup2) {
		int[] res = new int[testTup1.length];
        for (int i = 0; i < testTup1.length; i++) {
            res[i] = (int) Math.pow(testTup1[i], testTup2[i]);
        }
        return res;
    }
",197,"
[assert Arrays.equals(findExponentio(new int[]{10, 4, 5, 6}, new int[]{5, 6, 7, 5}), new int[]{100000, 4096, 78125, 7776});
,
assert Arrays.equals(findExponentio(new int[]{11, 5, 6, 7}, new int[]{6, 7, 8, 6}), new int[]{1771561, 78125, 1679616, 117649});
,
assert Arrays.equals(findExponentio(new int[]{12, 6, 7, 8}, new int[]{7, 8, 9, 7}), new int[]{35831808, 1679616, 40353607, 2097152});]
"
203,The given code counts the number of times a specific character appears in a given string.,"
public static int count(String s, char c) {
        int res = 0;
        for (int i = 0; i < s.length(); i++) {
            if (s.charAt(i) == c) {
                res++;
            }
        }
        return res;
    }
",204,"
[assert count(""abcc"", 'c') == 2;
,
assert count(""ababca"", 'a') == 3;
,
assert count(""mnmm0pm"", 'm') == 4;]
"
212,The given code takes two arrays of string tuples as input and returns a new array where each string tuple is the concatenation of the corresponding tuples from the input arrays.,"
public static String[] concatenateStrings(String[] testTup1, String[] testTup2) {
    String[] res = new String[testTup1.length];
        for (int i = 0; i < testTup1.length; i++) {
            res[i] = testTup1[i] + testTup2[i];
        }
        return res;
    }
",213,"
[assert Arrays.equals(concatenateStrings(new String[]{""Manjeet"", ""Nikhil"", ""Akshat""}, new String[]{"" Singh"", "" Meherwal"", "" Garg""}),new String[]{""Manjeet Singh"", ""Nikhil Meherwal"", ""Akshat Garg""});
,
assert Arrays.equals(concatenateStrings(new String[]{""Shaik"", ""Ayesha"", ""Sanya""}, new String[]{"" Dawood"", "" Begum"", "" Singh""}),new String[]{""Shaik Dawood"", ""Ayesha Begum"", ""Sanya Singh""});
,
assert Arrays.equals(concatenateStrings(new String[]{""Harpreet"", ""Priyanka"", ""Muskan""}, new String[]{""Kour"", "" Agarwal"", ""Sethi""}),new String[]{""HarpreetKour"", ""Priyanka Agarwal"", ""MuskanSethi""});]
"
217,The given code calculates the minimum number of operations required to make two numbers equal by finding the greatest common divisor and then subtracting one from the result of the larger number divided by the greatest common divisor.,"
public static int minOperations(int A, int B) {
        if (A > B) {
            int temp = A;
            A = B;
            B = temp;
        }
        B = B / gcd(A, B);
        return B - 1;
    }

    private static int gcd(int a, int b) {
        while (b != 0) {
            int temp = b;
            b = a % b;
            a = temp;
        }
        return a;
    }
",218,"
[assert minOperations(2, 4) == 1;
,
assert minOperations(4, 10) == 4;
,
assert minOperations(1, 4) == 3;]
"
220,"The given code finds the first even number in a list of numbers and returns it, or -1 if no even number is found.","
public static int firstEven(int[] nums) {
        return Arrays.stream(nums)
                     .filter(el -> el % 2 == 0)
                     .findFirst()
                     .orElse(-1);
    }
",221,"
[assert firstEven(new int[]{1, 3, 5, 7, 4, 1, 6, 8}) == 4;
,
assert firstEven(new int[]{2, 3, 4}) == 2;
,
assert firstEven(new int[]{5, 6, 7}) == 6;]
"
226,The given code defines a function that compares three integers and returns the smallest one.,"
public static int minOfThree(int a, int b, int c) {
        int smallest;
        if ((a <= b) && (a <= c)) {
            smallest = a;
        } else if ((b <= a) && (b <= c)) {
            smallest = b;
        } else {
            smallest = c;
        }
        return smallest;
    }
",227,"
[assert minOfThree(10, 20, 0) == 0;
,
assert minOfThree(19, 15, 18) == 15;
,
assert minOfThree(-10, -20, -30) == -30;]
"
234,"The given Java code sets all even bits of a given number by shifting and performing bitwise operations, and the equivalent Python function would achieve the same functionality of setting even bits in a binary representation of a number.","
public static int evenBitSetNumber(int n) {
        int count = 0, res = 0, temp = n;
        while (temp > 0) {
            if (count % 2 == 1) {
                res |= (1 << count);
            }
            count++;
            temp >>= 1;
        }
        return (n | res);
    }
",235,"
[assert evenBitSetNumber(10) == 10;
,
assert evenBitSetNumber(20) == 30;
,
assert evenBitSetNumber(30) == 30;]
"
281,The given code subtracts corresponding elements from two input lists and returns the resulting list of differences.,"
public static List<Integer> subList(List<Integer> nums1, List<Integer> nums2) {
        List<Integer> result = new ArrayList<>();
        for (int i = 0; i < nums1.size(); i++) {
            result.add(nums1.get(i) - nums2.get(i));
        }
        return result;
    }
",282,"
[assert subList(Arrays.asList(1, 2, 3), Arrays.asList(4, 5, 6)).equals(Arrays.asList(-3, -3, -3));
,
assert subList(Arrays.asList(1, 2), Arrays.asList(3, 4)).equals(Arrays.asList(-2, -2));
,
assert subList(Arrays.asList(90, 120), Arrays.asList(50, 70)).equals(Arrays.asList(40, 50));]
"
283,The given code checks if all elements in a list are equal to a specified element by comparing each item in the list to the given element and returning false as soon as it finds a mismatch.,"
public static boolean checkElement(List<Object> list, Object element) {
        for (Object v : list) {
            if (!v.equals(element)) {
                return false;
            }
        }
        return true;
    }
",284,"
[assert checkElement(List.of(""green"", ""orange"", ""black"", ""white""), ""blue"") == false;
, 
assert checkElement(List.of(1, 2, 3, 4), 7) == false;
,
assert checkElement(List.of(""green"", ""green"", ""green"", ""green""), ""green"") == true;]
"
306,"The given code creates a copy of a list of integer lists, appends a specified integer to a specified sublist, and returns the modified copy.","
public static Object[] colon_tuplex(Object[] tuplex, int m, int n) {
        // Create a deep copy of the input array
        Object[] tuplexColon = tuplex.clone();
        
        // Ensure the m-th element is a list before modifying
        if (tuplexColon[m] instanceof List) {
            @SuppressWarnings(""unchecked"")
            List<Integer> list = (List<Integer>) tuplexColon[m];
            // Create a new list to avoid modifying the original
            List<Integer> newList = new ArrayList<>(list);
            newList.add(n);
            tuplexColon[m] = newList;
        }
        
        return tuplexColon;
    }
",307,"
[assert Arrays.equals(colon_tuplex(new Object[]{""HELLO"", 5, new ArrayList<>(), true}, 2, 50),new Object[]{""HELLO"", 5, new ArrayList<>(Arrays.asList(50)), true});
,
assert Arrays.equals(colon_tuplex(new Object[]{""HELLO"", 5, new ArrayList<>(), true}, 2, 100),new Object[]{""HELLO"", 5, new ArrayList<>(Arrays.asList(100)), true});
,
assert Arrays.equals(colon_tuplex(new Object[]{""HELLO"", 5, new ArrayList<>(), true}, 2, 500),new Object[]{""HELLO"", 5, new ArrayList<>(Arrays.asList(500)), true});]
"
308,The given code defines a function that compares two numbers and returns the larger one.,"
public static int maximum(int a, int b) {
        if (a >= b) {
            return a;
        } else {
            return b;
        }
    }
",309,"
[assert maximum(5, 10) == 10;
,
assert maximum(-1, -2) == -1;
,
assert maximum(9, 7) == 9;]
"
373,The given code generates all possible permutations of a given string by recursively inserting the first character of the string into all positions of the permutations of the remaining string.,"
public static List<String> permuteString(String str) {
        if (str.length() == 0) {
            List<String> baseList = new ArrayList<>();
            baseList.add("""");
            return baseList;
        }
        List<String> prevList = permuteString(str.substring(1));
        HashSet<String> nextList = new HashSet<>();
        for (String s : prevList) {
            for (int j = 0; j <= s.length(); j++) {
                String newStr = s.substring(0, j) + str.charAt(0) + s.substring(j);
                nextList.add(newStr);
            }
        }
        List<String> result = new ArrayList<>(nextList);
        Collections.sort(result);
        return result;
    }
",374,"
[assert permuteString(""ab"").equals(Arrays.asList(""ab"", ""ba""));
,
assert permuteString(""abc"").equals(Arrays.asList(""abc"", ""acb"", ""bac"", ""bca"", ""cab"", ""cba""));
,
assert permuteString(""abcd"").equals(Arrays.asList(""abcd"", ""abdc"", ""acbd"", ""acdb"", ""adbc"", ""adcb"", ""bacd"", ""badc"", ""bcad"", ""bcda"", ""bdac"", ""bdca"", ""cabd"", ""cadb"", ""cbad"", ""cbda"", ""cdab"", ""cdba"", ""dabc"", ""dacb"", ""dbac"", ""dbca"", ""dcab"", ""dcba""));]
"
383,The given code calculates the frequency of the smallest element in a given array by iterating through the array and updating the minimum value and its frequency as it encounters smaller or equal elements.,"
public static int frequencyOfSmallest(int n, int[] arr) {
	        int mn = arr[0];
	        int freq = 1;
	        for (int i = 1; i < n; i++) {
	            if (arr[i] < mn) {
	                mn = arr[i];
	                freq = 1;
	            } else if (arr[i] == mn) {
	                freq++;
	            }
	        }
	        return freq;
}
",384,"
[assert frequencyOfSmallest(5, new int[]{1, 2, 3, 4, 3}) == 1;
,
assert frequencyOfSmallest(7, new int[]{3, 1, 2, 5, 6, 2, 3}) == 1;
,
assert frequencyOfSmallest(7, new int[]{3, 3, 6, 3, 7, 4, 9}) == 3;]
"
387,The given Java code and the requested Python function aim to find the largest power of 2 that is less than or equal to a given number.,"
public static int highestPowerOf2(int n) {
        int res = 0;
        for (int i = n; i > 0; i--) {
            if ((i & (i - 1)) == 0) {
                res = i;
                break;
            }
        }
        return res;
    }
",388,"
[assert highestPowerOf2(10) == 8;
,
assert highestPowerOf2(19) == 16;
,
assert highestPowerOf2(32) == 32;]
"
395,"The given Java code checks whether a given string starts and ends with the same character, or if it contains only a single character, and returns ""Valid"" if the condition is met, otherwise it returns ""Invalid"".","
public static String checkChar(String string) {
    	final String regex = ""^[a-z]$|^([a-z]).*\1$"";
        Pattern pattern = Pattern.compile(regex);
        Matcher matcher = pattern.matcher(string);
        if (matcher.find()) {
            return ""Valid"";
        } else {
            return ""Invalid"";
        }
}
",396,"
[assert checkChar(""abba"").equals(""Valid"");
,
assert checkChar(""a"").equals(""Valid"");
,
assert checkChar(""abcd"").equals(""Invalid"");]
"
409,This function finds the smallest integer value in a list that contains different types of data.,"
public static int minVal(List<Object> listVal) {
        return listVal.stream()
                      .filter(i -> i instanceof Integer)
                      .mapToInt(i -> (Integer) i)
                      .min()
                      .orElseThrow(); // or handle exception
    }
",410,"
[assert minVal(List.of(""Python"", 3, 2, 4, 5, ""version"")) == 2;
,
assert minVal(List.of(""Python"", 15, 20, 25)) == 15;
,
assert minVal(List.of(""Python"", 30, 20, 40, 50, ""version"")) == 20;]
"
410,"This code converts a given string from snake case to camel case by splitting the string at underscores, capitalizing the first letter of each part, and then joining the parts back together.","
public static String snakeToCamel(String word) {
        String[] parts = word.split(""_"");
        StringJoiner joiner = new StringJoiner("""");

        for (String part : parts) {
            joiner.add(capitalize(part));
        }

        return joiner.toString();
    }

private static String capitalize(String str) {
        if (str == null || str.isEmpty()) {
            return str;
        }
        return Character.toUpperCase(str.charAt(0)) + str.substring(1);
}
",411,"
[assert snakeToCamel(""android_tv"").equals(""AndroidTv"");
,
assert snakeToCamel(""google_pixel"").equals(""GooglePixel"");
,
assert snakeToCamel(""apple_watch"").equals(""AppleWatch"");]
"
425,"The given code filters a list of integers to include only the odd numbers, and the task is to achieve the same functionality using a lambda function.","
public static List<Integer> filterOddNumbers(int[] nums) {
        List<Integer> oddNums = new ArrayList<>();
        for (int num : nums) {
            if (num % 2 != 0) {
                oddNums.add(num);
            }
        }
        return oddNums;
    }
",426,"
[assert filterOddNumbers(new int[]{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}).equals(Arrays.asList(1, 3, 5, 7, 9));
,
assert filterOddNumbers(new int[]{10, 20, 45, 67, 84, 93}).equals(Arrays.asList(45, 67, 93));
,
assert filterOddNumbers(new int[]{5, 7, 9, 8, 6, 4, 3}).equals(Arrays.asList(5, 7, 9, 3));]
"
448,The given code checks whether three given points form a valid triangle or not by calculating the area of the triangle and returning Yes if the points do not lie on the same line and No otherwise.,"
public static String check_Triangle(double x1, double y1, double x2, double y2, double x3, double y3) {
        double a = (x1 * (y2 - y3) + x2 * (y3 - y1) + x3 * (y1 - y2));
        if (a == 0) {
            return ""No"";
        } else {
            return ""Yes"";
        }
    }
",449,"
[assert check_Triangle(1, 5, 2, 5, 4, 6).equals(""Yes"");
,
assert check_Triangle(1, 1, 1, 4, 1, 5).equals(""No"");
,
assert check_Triangle(1, 1, 1, 1, 1, 1).equals(""No"");]
"
450,The given Java code removes all whitespaces from a given string using a regular expression pattern that matches one or more whitespace characters.,"
public static String removeWhitespaces(String text1) {
        return Pattern.compile(""\s+"").matcher(text1).replaceAll("""");
    }
",451,"
[assert removeWhitespaces("" Google    Flutter "").equals(""GoogleFlutter"");
,
assert removeWhitespaces("" Google    Dart "").equals(""GoogleDart"");
,
assert removeWhitespaces("" iOS    Swift "").equals(""iOSSwift"");]
"
465,"This code finds the index of a peak element in a given array, which is an element that is greater than or equal to its neighbors.","
public static int findPeakUtil(int[] arr, int low, int high, int n) {
        int mid = low + (high - low) / 2;

        if ((mid == 0 || arr[mid - 1] <= arr[mid]) &&
            (mid == n - 1 || arr[mid + 1] <= arr[mid])) {
            return mid;
        } else if (mid > 0 && arr[mid - 1] > arr[mid]) {
            return findPeakUtil(arr, low, mid - 1, n);
        } else {
            return findPeakUtil(arr, mid + 1, high, n);
        }
    }

    public static int findPeak(int[] arr, int n) {
        return findPeakUtil(arr, 0, n - 1, n);
    }
",466,"
[assert findPeak(new int[]{1, 3, 20, 4, 1, 0}, 6) == 2;
,
assert findPeak(new int[]{2, 3, 4, 5, 6}, 5) == 4;
,
assert findPeak(new int[]{8, 9, 11, 12, 14, 15}, 6) == 5;]
"
478,The given Java code and the requested Python function are designed to extract the first digit of a given integer by continuously dividing the number by 10 until only one digit remains.,"
public static int firstDigit(int n) {
        while (n >= 10) {
            n = n / 10;
        }
        return n;
    }
",479,"
[assert firstDigit(123) == 1;
,
assert firstDigit(456) == 4;
,
assert firstDigit(12) == 1;]
"
485,"The code calculates the probability of getting exactly k successes in n independent trials, where the probability of success in each trial is p.","
	public static long nCr(int n, int r) {
        if (r > n / 2) {
            r = n - r;
        }
        long answer = 1;
        for (int i = 1; i <= r; i++) {
            answer *= (n - r + i);
            answer /= i;
        }
        return answer;
    }

    public static double binomialProbability(int n, int k, double p) {
        return (nCr(n, k) * Math.pow(p, k) * Math.pow(1 - p, n - k));
    }
",486,"
[assert binomialProbability(10, 5, 1.0 / 3) == 0.13656454808718185;
,
assert binomialProbability(11, 6, 2.0 / 4) == 0.2255859375;
,
assert binomialProbability(12, 7, 3.0 / 5) == 0.227030335488;]
"
489,The given code extracts symmetric pairs from a list by adding the reverse of each pair and then filtering out pairs where the first element is greater than the second element.,"
public static Set<int[]> extractSymmetric(int[][] testList) {
        Set<String> temp = new HashSet<>();
        for (int[] pair : testList) {
            temp.add(pair[0] + "","" + pair[1]);
            temp.add(pair[1] + "","" + pair[0]);
        }
        
        Set<int[]> res = new HashSet<>();
        for (String pairStr : temp) {
            String[] parts = pairStr.split("","");
            int first = Integer.parseInt(parts[0]);
            int second = Integer.parseInt(parts[1]);
            if (first < second) {
                res.add(new int[]{first, second});
            }
        }
        return res;
	}
",490,"
[assert Arrays.deepEquals(extractSymmetric(new int[][]{{6, 7}, {2, 3}, {7, 6}, {9, 8}, {10, 2}, {8, 9}}).toArray(new int[0][]), new int[][]{{8, 9}, {6, 7}});
,
assert Arrays.deepEquals(extractSymmetric(new int[][]{{7, 8}, {3, 4}, {8, 7}, {10, 9}, {11, 3}, {9, 10}}).toArray(new int[0][]), new int[][]{{7, 8}, {9, 10}});
,
assert Arrays.deepEquals(extractSymmetric(new int[][]{{8, 9}, {4, 5}, {9, 8}, {11, 10}, {12, 4}, {10, 11}}).toArray(new int[0][]), new int[][]{{8, 9}, {10, 11}});]
"
510,The given code calculates the minimum sum of factors of a given number by dividing it into its prime factors and summing them up.,"
public static int findMinSum(int num) {
        int sum = 0;
        int i = 2;
        while (i * i <= num) {
            while (num % i == 0) {
                sum += i;
                num /= i;
            }
            i++;
        }
        sum += num;
        return sum;
    }
",511,"
[assert findMinSum(12) == 7;
,
assert findMinSum(105) == 15;
,
assert findMinSum(2) == 2;]
"
524,The given code checks whether two lines are parallel by comparing the ratio of their slopes.,"
public static boolean parallelLines(double[] line1, double[] line2) {
	        return line1[0] / line1[1] == line2[0] / line2[1];
	    }
",525,"
[assert parallelLines(new double[]{2, 3, 4}, new double[]{2, 3, 8}) == true;
,
assert parallelLines(new double[]{2, 3, 4}, new double[]{4, -3, 8}) == false;
,
assert parallelLines(new double[]{3, 3}, new double[]{5, 5}) == true;]
"
541,"The given code replaces all occurrences of spaces, commas, or dots in a string with a colon using regular expressions.","
public static String fillSpaces(String text) {
        return Pattern.compile(""[ ,.]"", Pattern.CASE_INSENSITIVE).matcher(text).replaceAll("":"");
    }
",542,"
[assert fillSpaces(""Boult Curve Wireless Neckband"").equals(""Boult:Curve:Wireless:Neckband"");
,
assert fillSpaces(""Stereo Sound Sweatproof"").equals(""Stereo:Sound:Sweatproof"");
,
assert fillSpaces(""Probass Curve Audio"").equals(""Probass:Curve:Audio"");]
"
545,"The given code finds the last occurrence of a specified character in a string and returns its position, with the position being 1-indexed.","
public static Integer lastOccurrenceChar(String string, char ch) {
        int flag = -1;
        for (int i = 0; i < string.length(); i++) {
            if (string.charAt(i) == ch) {
                flag = i;
            }
        }
        if (flag == -1) {
            return null;
        } else {
            return flag + 1;
        }
    }
",546,"
[assert lastOccurrenceChar(""hello world"", 'l') == 10;
,
assert lastOccurrenceChar(""language"", 'g') == 7;
,
assert lastOccurrenceChar(""little"", 'y') == null;]
"
565,The given code calculates the sum of the digits of a non-negative integer using recursion.,"
public static int sumDigits(int n) {
        if (n == 0) {
            return 0;
        } else {
            return n % 10 + sumDigits(n / 10);
        }
    }
",566,"
[assert sumDigits(345) == 12;
,
assert sumDigits(12) == 3;
,
assert sumDigits(97) == 16;]
"
