,text,code,task_id,test_list
10,Write a python function to remove first and last occurrence of a given character from the string.,"```cpp
#include <string>

std::pair<std::string, std::string> remove_Occ(std::string s, char ch) {
    for (size_t i = 0; i < s.length(); i++) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
    for (int i = s.length() - 1; i >= 0; i--) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
    return {s, """"};
}
```",11,"```cpp
assert(remove_Occ(""hello"", ""l"") == ""heo"");
assert(remove_Occ(""abcda"", ""a"") == ""bcd"");
assert(remove_Occ(""PHP"", ""P"") == ""H"");
```"
11,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"```cpp
#include <vector>
#include <algorithm>

std::pair<std::vector<std::vector<int>>, std::vector<int>> sort_matrix(const std::vector<std::vector<int>>& M) {
    std::vector<std::vector<int>> result = M;
    std::sort(result.begin(), result.end(), [](const std::vector<int>& a, const std::vector<int>& b) {
        return std::accumulate(a.begin(), a.end(), 0) < std::accumulate(b.begin(), b.end(), 0);
    });
    return {result, {}};
}
```",12,"```cpp
#include <cassert>
#include <vector>
#include <algorithm>

std::vector<std::vector<int>> sort_matrix(std::vector<std::vector<int>> matrix) {
    std::sort(matrix.begin(), matrix.end());
    return matrix;
}

int main() {
    assert(sort_matrix({{1, 2, 3}, {2, 4, 5}, {1, 1, 1}}) == std::vector<std::vector<int>>{{1, 1, 1}, {1, 2, 3}, {2, 4, 5}});
    assert(sort_matrix({{1, 2, 3}, {-2, 4, -5}, {1, -1, 1}}) == std::vector<std::vector<int>>{{-2, 4, -5}, {1, -1, 1}, {1, 2, 3}});
    assert(sort_matrix({{5, 8, 9}, {6, 4, 3}, {2, 1, 4}}) == std::vector<std::vector<int>>{{2, 1, 4}, {6, 4, 3}, {5, 8, 9}});
    return 0;
}
```"
12,Write a function to count the most common words in a dictionary.,"```cpp
#include <iostream>
#include <vector>
#include <unordered_map>
#include <algorithm>

std::vector<std::pair<std::string, int>> count_common(const std::vector<std::string>& words) {
    std::unordered_map<std::string, int> word_counts;
    for (const auto& word : words) {
        word_counts[word]++;
    }

    // Create a vector of pairs from the unordered_map
    std::vector<std::pair<std::string, int>> word_vector(word_counts.begin(), word_counts.end());
    
    // Sort the vector based on the counts in descending order
    std::sort(word_vector.begin(), word_vector.end(), 
              [](const auto& a, const auto& b) {
                  return a.second > b.second;
              });

    // Get the top four
    if (word_vector.size() > 4) {
        word_vector.resize(4);
    }

    return word_vector;
}
```",13,"```cpp
#include <iostream>
#include <vector>
#include <string>
#include <unordered_map>
#include <cassert>
#include <algorithm>

std::vector<std::pair<std::string, int>> count_common(const std::vector<std::string>& items) {
    std::unordered_map<std::string, int> count_map;
    for (const auto& item : items) {
        count_map[item]++;
    }
    
    std::vector<std::pair<std::string, int>> counts(count_map.begin(), count_map.end());
    std::sort(counts.begin(), counts.end(), [](const auto& a, const auto& b) {
        return a.second > b.second;
    });
    return counts;
}

int main() {
    assert(count_common({""red"", ""green"", ""black"", ""pink"", ""black"", ""white"", ""black"", ""eyes"", ""white"", ""black"", ""orange"", ""pink"", ""pink"", ""red"", ""red"", ""white"", ""orange"", ""white"", ""black"", ""pink"", ""green"", ""green"", ""pink"", ""green"", ""pink"", ""white"", ""orange"", ""orange"", ""red""}) == std::vector<std::pair<std::string, int>>{ {""pink"", 6}, {""black"", 5}, {""white"", 5}, {""red"", 4} });
    assert(count_common({""one"", ""two"", ""three"", ""four"", ""five"", ""one"", ""two"", ""one"", ""three"", ""one""}) == std::vector<std::pair<std::string, int>>{ {""one"", 4}, {""two"", 2}, {""three"", 2}, {""four"", 1} });
    assert(count_common({""Facebook"", ""Apple"", ""Amazon"", ""Netflix"", ""Google"", ""Apple"", ""Netflix"", ""Amazon""}) == std::vector<std::pair<std::string, int>>{ {""Apple"", 2}, {""Amazon"", 2}, {""Netflix"", 2}, {""Facebook"", 1} });
    
    return 0;
}
```"
13,Write a python function to find the volume of a triangular prism.,"```cpp
#include <iostream>
using namespace std;

pair<double, double> find_Volume(double l, double b, double h) {
    return make_pair((l * b * h) / 2, 0);
}
```",14,"```cpp
#include <cassert>

int find_Volume(int length, int width, int height) {
    return length * width * height;
}

int main() {
    assert(find_Volume(10, 8, 6) == 240);
    assert(find_Volume(3, 2, 2) == 6);
    assert(find_Volume(1, 2, 1) == 2);
    return 0;
}
```"
14,Write a function to split a string at lowercase letters.,"```cpp
#include <iostream>
#include <string>
#include <vector>
#include <regex>

std::pair<std::vector<std::string>, std::string> split_lowerstring(const std::string& text) {
    std::regex pattern(""[a-z][^a-z]*"");
    std::sregex_iterator it(text.begin(), text.end(), pattern);
    std::sregex_iterator end;

    std::vector<std::string> result;
    while (it != end) {
        result.push_back(it->str());
        ++it;
    }
    return {result, """"}; // returning an empty string as the second part of the pair
}
```",15,"```cpp
#include <cassert>
#include <string>
#include <vector>
#include <cctype>

std::vector<std::string> split_lowerstring(const std::string& str) {
    std::vector<std::string> result;
    std::string current;
    for (char c : str) {
        if (std::islower(c)) {
            if (!current.empty()) {
                result.push_back(current);
                current.clear();
            }
            current += c;
        } else {
            current += c;
        }
    }
    if (!current.empty()) {
        result.push_back(current);
    }
    return result;
}

int main() {
    assert(split_lowerstring(""AbCd"") == std::vector<std::string>{""bC"", ""d""});
    assert(split_lowerstring(""Python"") == std::vector<std::string>{""y"", ""t"", ""h"", ""o"", ""n""});
    assert(split_lowerstring(""Programming"") == std::vector<std::string>{""r"", ""o"", ""g"", ""r"", ""a"", ""m"", ""m"", ""i"", ""n"", ""g""});
    return 0;
}
```"
15,Write a function to find sequences of lowercase letters joined with an underscore.,"```cpp
#include <iostream>
#include <regex>
#include <string>

std::string text_lowercase_underscore(const std::string& text) {
    std::regex patterns(""^[a-z]+_[a-z]+$"");
    if (std::regex_search(text, patterns)) {
        return ""Found a match!"";
    } else {
        return ""Not matched!"";
    }
}
```",16,"```cpp
#include <cassert>
#include <string>

std::string text_lowercase_underscore(const std::string& text);

int main() {
    assert(text_lowercase_underscore(""aab_cbbbc"") == ""Found a match!"");
    assert(text_lowercase_underscore(""aab_Abbbc"") == ""Not matched!"");
    assert(text_lowercase_underscore(""Aaab_abbbc"") == ""Not matched!"");
    return 0;
}
```"
16,Write a function to find the perimeter of a square.,"```cpp
#include <iostream>
using namespace std;

pair<int, int> square_perimeter(int a) {
    int perimeter = 4 * a;
    return make_pair(perimeter, perimeter);
}
```",17,"```cpp
#include <cassert>

int square_perimeter(int side_length) {
    return 4 * side_length;
}

int main() {
    assert(square_perimeter(10) == 40);
    assert(square_perimeter(5) == 20);
    assert(square_perimeter(4) == 16);
    
    return 0;
}
```"
17,Write a function to remove characters from the first string which are present in the second string.,"```cpp
#include <iostream>
#include <string>
#include <vector>

const int NO_OF_CHARS = 256;

std::vector<char> str_to_list(const std::string& str) {
    std::vector<char> temp;
    for (char x : str) {
        temp.push_back(x);
    }
    return temp;
}

std::string lst_to_string(const std::vector<char>& list) {
    return std::string(list.begin(), list.end());
}

int* get_char_count_array(const std::string& str) {
    int* count = new int[NO_OF_CHARS] {0}; 
    for (char i : str) {
        count[static_cast<int>(i)]++;
    }
    return count;
}

std::string remove_dirty_chars(const std::string& string, const std::string& second_string) {
    int* count = get_char_count_array(second_string);
    int ip_ind = 0;
    int res_ind = 0;
    std::string temp;
    std::vector<char> str_list = str_to_list(string);
    
    while (ip_ind != str_list.size()) {
        temp = str_list[ip_ind];
        if (count[static_cast<int>(temp[0])] == 0) {
            str_list[res_ind] = str_list[ip_ind];
            res_ind++;
        }
        ip_ind++;
    }
    delete[] count;
    return lst_to_string(std::vector<char>(str_list.begin(), str_list.begin() + res_ind));
}
```",18,"```cpp
#include <cassert>
#include <string>

std::string remove_dirty_chars(const std::string &str, const std::string &dirty) {
    std::string result;
    for (char c : str) {
        if (dirty.find(c) == std::string::npos) {
            result += c;
        }
    }
    return result;
}

int main() {
    assert(remove_dirty_chars(""probasscurve"", ""pros"") == ""bacuve"");
    assert(remove_dirty_chars(""digitalindia"", ""talent"") == ""digiidi"");
    assert(remove_dirty_chars(""exoticmiles"", ""toxic"") == ""emles"");
    return 0;
}
```"
18,Write a function to find whether a given array of integers contains any duplicate element.,"```cpp
#include <vector>
#include <unordered_set>

std::pair<bool, bool> test_duplicate(const std::vector<int>& arraynums) {
    std::unordered_set<int> nums_set(arraynums.begin(), arraynums.end());
    return std::make_pair(arraynums.size() != nums_set.size(), false);
}
```",19,"```cpp
#include <cassert>
#include <vector>
#include <unordered_set>

bool test_duplicate(const std::vector<int>& nums) {
    std::unordered_set<int> seen;
    for(int num : nums) {
        if(seen.count(num)) {
            return true;
        }
        seen.insert(num);
    }
    return false;
}

int main() {
    assert(test_duplicate({1, 2, 3, 4, 5}) == false);
    assert(test_duplicate({1, 2, 3, 4, 4}) == true);
    assert(test_duplicate({1, 1, 2, 2, 3, 3, 4, 4, 5}) == true);
    return 0;
}
```"
19,Write a function to check if the given number is woodball or not.,"```cpp
#include <iostream>

bool is_woodall(int x) {
    if (x % 2 == 0) {
        return false;
    }
    if (x == 1) {
        return true;
    }
    x = x + 1;
    int p = 0;
    while (x % 2 == 0) {
        x = x / 2;
        p = p + 1;
        if (p == x) {
            return true;
        }
    }
    return false;
}
```",20,"```cpp
#include <cassert>

int main() {
    assert(is_woodall(383) == true);
    assert(is_woodall(254) == false);
    assert(is_woodall(200) == false);
    return 0;
}
```"
20,Write a function to find m number of multiples of n.,"```cpp
#include <vector>

std::pair<std::vector<int>, std::vector<int>> multiples_of_num(int m, int n) {
    std::vector<int> multiples_of_num;
    for (int i = n; i <= (m + 1) * n; i += n) {
        multiples_of_num.push_back(i);
    }
    return {multiples_of_num, multiples_of_num};
}
```",21,"```cpp
#include <cassert>
#include <vector>

std::vector<int> multiples_of_num(int num, int count) {
    std::vector<int> result;
    for (int i = 1; i <= count; ++i) {
        result.push_back(num * i);
    }
    return result;
}

int main() {
    assert(multiples_of_num(4, 3) == std::vector<int>{3, 6, 9, 12});
    assert(multiples_of_num(2, 5) == std::vector<int>{5, 10});
    assert(multiples_of_num(9, 2) == std::vector<int>{2, 4, 6, 8, 10, 12, 14, 16, 18});
    return 0;
}
```"
21,Write a function to find the first duplicate element in a given array of integers.,"```cpp
#include <vector>
#include <unordered_set>

int find_first_duplicate(const std::vector<int>& nums) {
    std::unordered_set<int> num_set;
    int no_duplicate = -1;

    for (size_t i = 0; i < nums.size(); ++i) {
        if (num_set.find(nums[i]) != num_set.end()) {
            return nums[i];
        } else {
            num_set.insert(nums[i]);
        }
    }

    return no_duplicate;
}
```",22,"```cpp
#include <cassert>
#include <vector>
#include <unordered_set>

int find_first_duplicate(const std::vector<int>& arr) {
    std::unordered_set<int> seen;
    for (int num : arr) {
        if (seen.count(num)) {
            return num;
        }
        seen.insert(num);
    }
    return -1;
}

int main() {
    assert(find_first_duplicate({1, 2, 3, 4, 4, 5}) == 4);
    assert(find_first_duplicate({1, 2, 3, 4}) == -1);
    assert(find_first_duplicate({1, 1, 2, 3, 3, 2, 2}) == 1);
}
```"
22,Write a python function to find the maximum sum of elements of list in a list of lists.,"```cpp
#include <vector>
#include <algorithm>
#include <limits>

std::pair<int, int> maximum_Sum(const std::vector<std::vector<int>>& list1) {
    int maxi = -100000;
    for (const auto& x : list1) {
        int sum = 0;
        for (int y : x) {
            sum += y;
        }
        maxi = std::max(sum, maxi);
    }
    return {maxi};
}
```",23,"```cpp
#include <cassert>
#include <vector>

int maximum_Sum(std::vector<std::vector<int>> matrix);

int main() {
    assert(maximum_Sum({{1, 2, 3}, {4, 5, 6}, {10, 11, 12}, {7, 8, 9}}) == 33);
    assert(maximum_Sum({{0, 1, 1}, {1, 1, 2}, {3, 2, 1}}) == 6);
    assert(maximum_Sum({{0, 1, 3}, {1, 2, 1}, {9, 8, 2}, {0, 1, 0}, {6, 4, 8}}) == 19);
    return 0;
}
```"
23,Write a function to convert the given binary number to its decimal equivalent.,"```cpp
#include <iostream>
#include <cmath>

int binary_to_decimal(int binary) {
    int decimal = 0, i = 0;
    while (binary != 0) {
        int dec = binary % 10;
        decimal = decimal + dec * pow(2, i);
        binary = binary / 10;
        i++;
    }
    return decimal;
}
```",24,"```cpp
#include <cassert>

int binary_to_decimal(int binary) {
    int decimal = 0;
    int base = 1;

    while (binary) {
        int last_digit = binary % 10;
        binary = binary / 10;
        decimal += last_digit * base;
        base *= 2;
    }

    return decimal;
}

int main() {
    assert(binary_to_decimal(100) == 4);
    assert(binary_to_decimal(1011) == 11);
    assert(binary_to_decimal(1101101) == 109);
    return 0;
}
```"
24,Write a python function to find the product of non-repeated elements in a given array.,"```cpp
#include <iostream>
#include <vector>
#include <algorithm>

int find_Product(std::vector<int>& arr, int n) {
    std::sort(arr.begin(), arr.end());
    int prod = 1;
    for (int i = 0; i < n; i++) {
        if (arr[i - 1] != arr[i]) {
            prod = prod * arr[i];
        }
    }
    return prod;
}
```",25,"```cpp
#include <cassert>
#include <vector>

int find_Product(std::vector<int> nums, int target) {
    // Function implementation goes here
}

int main() {
    assert(find_Product({1, 1, 2, 3}, 4) == 6);
    assert(find_Product({1, 2, 3, 1, 1}, 5) == 6);
    assert(find_Product({1, 1, 4, 5, 6}, 5) == 120);
    return 0;
}
```"
25,Write a function to check if the given tuple list has all k elements.,"```cpp
#include <vector>
#include <tuple>

std::pair<bool, bool> check_k_elements(const std::vector<std::tuple<int>>& test_list, int K) {
    bool res = true;
    for (const auto& tup : test_list) {
        for (const auto& ele : tup) {
            if (ele != K) {
                res = false;
            }
        }
    }
    return {res, false}; // Returning a pair, but second value is not used in original function
}
```",26,"```cpp
#include <cassert>
#include <vector>
#include <tuple>

bool check_k_elements(const std::vector<std::tuple<int, int...>>& elements, int k) {
    // Function implementation goes here
}

int main() {
    assert(check_k_elements({std::make_tuple(4, 4), std::make_tuple(4, 4, 4), std::make_tuple(4, 4), std::make_tuple(4, 4, 4, 4), std::make_tuple(4)}, 4) == true);
    assert(check_k_elements({std::make_tuple(7, 7, 7), std::make_tuple(7, 7)}, 7) == true);
    assert(check_k_elements({std::make_tuple(9, 9), std::make_tuple(9, 9, 9, 9)}, 7) == false);

    return 0;
}
```"
26,Write a python function to remove all digits from a list of strings.,"```cpp
#include <vector>
#include <string>
#include <regex>

std::vector<std::string> remove(const std::vector<std::string>& list) {
    std::regex pattern(""[0-9]"");
    std::vector<std::string> result;
    
    for (const auto& i : list) {
        result.push_back(std::regex_replace(i, pattern, """"));
    }
    
    return result;
}
```",27,"```cpp
#include <vector>
#include <string>
#include <cassert>
#include <regex>

std::vector<std::string> remove(const std::vector<std::string>& input) {
    std::vector<std::string> result;
    std::regex re(""\\d+"");
    
    for (const auto& str : input) {
        std::string modified = std::regex_replace(str, re, """");
        result.push_back(modified);
    }
    
    return result;
}

int main() {
    assert(remove({""4words"", ""3letters"", ""4digits""}) == std::vector<std::string>{""words"", ""letters"", ""digits""});
    assert(remove({""28Jan"", ""12Jan"", ""11Jan""}) == std::vector<std::string>{""Jan"", ""Jan"", ""Jan""});
    assert(remove({""wonder1"", ""wonder2"", ""wonder3""}) == std::vector<std::string>{""wonder"", ""wonder"", ""wonder""});
    
    return 0;
}
```"
27,Write a python function to find binomial co-efficient.,"```cpp
#include <iostream>
using namespace std;

int binomial_Coeff(int n, int k) {
    if (k > n) {
        return 0;
    }
    if (k == 0 || k == n) {
        return 1;
    }
    return binomial_Coeff(n - 1, k - 1) + binomial_Coeff(n - 1, k);
}
```",28,"```cpp
#include <cassert>

int binomial_Coeff(int n, int k) {
    // Function implementation here
}

int main() {
    assert(binomial_Coeff(5, 2) == 10);
    assert(binomial_Coeff(4, 3) == 4);
    assert(binomial_Coeff(3, 2) == 3);
    return 0;
}
```"
28,Write a python function to find the element occurring odd number of times.,"```cpp
#include <iostream>
using namespace std;

int get_Odd_Occurrence(int arr[], int arr_size) {
    for (int i = 0; i < arr_size; i++) {
        int count = 0;
        for (int j = 0; j < arr_size; j++) {
            if (arr[i] == arr[j]) {
                count++;
            }
        }
        if (count % 2 != 0) {
            return arr[i];
        }
    }
    return -1;
}
```",29,"```cpp
#include <cassert>
#include <vector>

int get_Odd_Occurrence(const std::vector<int>& arr, int size) {
    int result = 0;
    for (int i = 0; i < size; ++i) {
        result ^= arr[i];
    }
    return result;
}

int main() {
    assert(get_Odd_Occurrence({1,2,3,1,2,3,1}, 7) == 1);
    assert(get_Odd_Occurrence({1,2,3,2,3,1,3}, 7) == 3);
    assert(get_Odd_Occurrence({2,3,5,4,5,2,4,3,5,2,4,4,2}, 13) == 5);
    return 0;
}
```"
29,Write a python function to count all the substrings starting and ending with same characters.,"```cpp
#include <iostream>
#include <string>

bool check_Equality(const std::string& s) {
    return (s[0] == s[s.length() - 1]);
}

int count_Substring_With_Equal_Ends(const std::string& s) {
    int result = 0;
    int n = s.length();
    for (int i = 0; i < n; ++i) {
        for (int j = 1; j <= n - i; ++j) {
            if (check_Equality(s.substr(i, j))) {
                result++;
            }
        }
    }
    return result;
}
```",30,"```cpp
#include <cassert>
#include <string>

int count_Substring_With_Equal_Ends(const std::string& str);

int main() {
    assert(count_Substring_With_Equal_Ends(""abc"") == 3);
    assert(count_Substring_With_Equal_Ends(""abcda"") == 6);
    assert(count_Substring_With_Equal_Ends(""ab"") == 2);
    return 0;
}
```"
30,Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.,"```cpp
#include <vector>
#include <unordered_map>
#include <queue>

std::vector<int> func(const std::vector<std::vector<int>>& nums, int k) {
    std::unordered_map<int, int> d;
    for (const auto& row : nums) {
        for (int i : row) {
            d[i]++;
        }
    }
    
    std::vector<std::pair<int, int>> temp;
    for (const auto& [key, v] : d) {
        if (temp.size() < k) {
            temp.emplace_back(v, key);
            if (temp.size() == k) {
                std::make_heap(temp.begin(), temp.end());
            }
        } else {
            if (v > temp.front().first) {
                std::pop_heap(temp.begin(), temp.end());
                temp.pop_back();
                temp.emplace_back(v, key);
                std::push_heap(temp.begin(), temp.end());
            }
        }
    }

    std::vector<int> result;
    while (!temp.empty()) {
        std::pop_heap(temp.begin(), temp.end());
        result.push_back(temp.back().second);
        temp.pop_back();
    }
    return result;
}
```",31,"```cpp
#include <vector>
#include <cassert>

std::vector<int> func(const std::vector<std::vector<int>>& input, int n);

int main() {
    assert(func({{1, 2, 6}, {1, 3, 4, 5, 7, 8}, {1, 3, 5, 6, 8, 9}, {2, 5, 7, 11}, {1, 4, 7, 8, 12}}, 3) == std::vector<int>{5, 7, 1});
    assert(func({{1, 2, 6}, {1, 3, 4, 5, 7, 8}, {1, 3, 5, 6, 8, 9}, {2, 5, 7, 11}, {1, 4, 7, 8, 12}}, 1) == std::vector<int>{1});
    assert(func({{1, 2, 6}, {1, 3, 4, 5, 7, 8}, {1, 3, 5, 6, 8, 9}, {2, 5, 7, 11}, {1, 4, 7, 8, 12}}, 5) == std::vector<int>{6, 5, 7, 8, 1});

    return 0;
}
```"
