,text,code,task_id,test_list
10, this   function to remove first and last occurrence of a given character from the string.,"```javascript
function remove_Occ(s, ch) { 
    for (let i = 0; i < s.length; i++) { 
        if (s[i] === ch) { 
            s = s.slice(0, i) + s.slice(i + 1); 
            break; 
        } 
    } 
    for (let i = s.length - 1; i >= 0; i--) {  
        if (s[i] === ch) { 
            s = s.slice(0, i) + s.slice(i + 1); 
            break; 
        } 
    } 
    return s; 
}
```",11,"```javascript
['console.assert(remove_Occ(""hello"",""l"") === ""heo"")', 'console.assert(remove_Occ(""abcda"",""a"") === ""bcd"")', 'console.assert(remove_Occ(""PHP"",""P"") === ""H"")']
```"
11, this function to sort a given matrix in ascending order according to the sum of its rows.,"```javascript
function sortMatrix(M) {
    const result = M.sort((a, b) => a.reduce((acc, val) => acc + val, 0) - b.reduce((acc, val) => acc + val, 0));
    return result;
}
```",12,"```javascript
['console.assert(JSON.stringify(sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])) === JSON.stringify([[1, 1, 1], [1, 2, 3], [2, 4, 5]]);', 
 'console.assert(JSON.stringify(sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])) === JSON.stringify([[-2, 4, -5], [1, -1, 1], [1, 2, 3]]);', 
 'console.assert(JSON.stringify(sort_matrix([[5,8,9],[6,4,3],[2,1,4]])) === JSON.stringify([[2, 1, 4], [6, 4, 3], [5, 8, 9]]);']
```"
12, this function to count the most common words in a dictionary.,"```javascript
function countCommon(words) {
  const wordCounts = {};
  words.forEach(word => {
    wordCounts[word] = (wordCounts[word] || 0) + 1;
  });

  const topFour = Object.entries(wordCounts)
    .sort((a, b) => b[1] - a[1])
    .slice(0, 4);
  
  return topFour;
}
```",13,"```javascript
assert(count_common(['red', 'green', 'black', 'pink', 'black', 'white', 'black', 'eyes', 'white', 'black', 'orange', 'pink', 'pink', 'red', 'red', 'white', 'orange', 'white', ""black"", 'pink', 'green', 'green', 'pink', 'green', 'pink', 'white', 'orange', ""orange"", 'red']) === [['pink', 6], ['black', 5], ['white', 5], ['red', 4]]);
assert(count_common(['one', 'two', 'three', 'four', 'five', 'one', 'two', 'one', 'three', 'one']) === [['one', 4], ['two', 2], ['three', 2], ['four', 1]]);
assert(count_common(['Facebook', 'Apple', 'Amazon', 'Netflix', 'Google', 'Apple', 'Netflix', 'Amazon']) === [['Apple', 2], ['Amazon', 2], ['Netflix', 2], ['Facebook', 1]]);
```"
13, this   function to find the volume of a triangular prism.,"```javascript
function findVolume(l, b, h) {
    return (l * b * h) / 2;
}
```",14,"```javascript
['console.assert(find_Volume(10, 8, 6) === 240)', 'console.assert(find_Volume(3, 2, 2) === 6)', 'console.assert(find_Volume(1, 2, 1) === 1)'];
```"
14, this function to split a string at lowercase letters.,"```javascript
function splitLowerString(text) {
    return text.match(/[a-z][^a-z]*/g);
}
```",15,"```javascript
['console.assert(split_lowerstring(""AbCd"").toString() === [\'bC\',\'d\'].toString())', 'console.assert(split_lowerstring("" "").toString() === [\'y\', \'t\', \'h\', \'o\', \'n\'].toString())', 'console.assert(split_lowerstring(""Programming"").toString() === [\'r\', \'o\', \'g\', \'r\', \'a\', \'m\', \'m\', \'i\', \'n\', \'g\'].toString())']
```"
15, this function to find sequences of lowercase letters joined with an underscore.,"```javascript
function textLowercaseUnderscore(text) {
    const patterns = /^[a-z]+_[a-z]+$/;
    if (patterns.test(text)) {
        return 'Found a match!';
    } else {
        return 'Not matched!';
    }
}
```",16,"```javascript
console.assert(text_lowercase_underscore(""aab_cbbbc"") === 'Found a match!');
console.assert(text_lowercase_underscore(""aab_Abbbc"") === 'Not matched!');
console.assert(text_lowercase_underscore(""Aaab_abbbc"") === 'Not matched!');
```"
16, this function to find the perimeter of a square.,"```javascript
function squarePerimeter(a) {
  const perimeter = 4 * a;
  return perimeter;
}
```",17,"```javascript
['console.assert(square_perimeter(10) === 40)', 'console.assert(square_perimeter(5) === 20)', 'console.assert(square_perimeter(4) === 16)']
```"
17, this function to remove characters from the first string which are present in the second string.,"```javascript
const NO_OF_CHARS = 256;

function strToList(string) {
    let temp = [];
    for (let x of string) {
        temp.push(x);
    }
    return temp;
}

function lstToString(list) {
    return list.join('');
}

function getCharCountArray(string) {
    let count = new Array(NO_OF_CHARS).fill(0);
    for (let i of string) {
        count[i.charCodeAt(0)] += 1;
    }
    return count;
}

function removeDirtyChars(string, secondString) {
    let count = getCharCountArray(secondString);
    let ipInd = 0;
    let resInd = 0;
    let temp = '';
    let strList = strToList(string);
    
    while (ipInd !== strList.length) {
        temp = strList[ipInd];
        if (count[temp.charCodeAt(0)] === 0) {
            strList[resInd] = strList[ipInd];
            resInd += 1;
        }
        ipInd += 1;
    }
    return lstToString(strList.slice(0, resInd));
}
```",18,"```javascript
['console.assert(remove_dirty_chars(""probasscurve"", ""pros"") === ""bacuve"");', 'console.assert(remove_dirty_chars(""digitalindia"", ""talent"") === ""digiidi"");', 'console.assert(remove_dirty_chars(""exoticmiles"", ""toxic"") === ""emles"");']
```"
18, this function to find whether a given array of integers contains any duplicate element.,"```javascript
function testDuplicate(arrayNums) {
    const numsSet = new Set(arrayNums);
    return arrayNums.length !== numsSet.size;
}
```",19,"```javascript
console.assert(test_duplicate([1, 2, 3, 4, 5]) === false);
console.assert(test_duplicate([1, 2, 3, 4, 4]) === true);
console.assert(test_duplicate([1, 1, 2, 2, 3, 3, 4, 4, 5]) === true);
```"
19, this function to check if the given number is woodball or not.,"```javascript
function isWoodall(x) {
    if (x % 2 == 0) {
        return false;
    }
    if (x == 1) {
        return true;
    }
    x = x + 1;
    let p = 0;
    while (x % 2 == 0) {
        x = x / 2;
        p = p + 1;
        if (p == x) {
            return true;
        }
    }
    return false;
}
```",20,"```javascript
console.assert(is_woodall(383) === true);
console.assert(is_woodall(254) === false);
console.assert(is_woodall(200) === false);
```"
20, this function to find m number of multiples of n.,"```javascript
function multiples_of_num(m, n) {
    let multiples_of_num = [];
    for (let i = n; i <= (m + 1) * n; i += n) {
        multiples_of_num.push(i);
    }
    return multiples_of_num;
}
```",21,"```javascript
['console.assert(multiples_of_num(4,3).toString() === [3,6,9,12].toString())', 'console.assert(multiples_of_num(2,5).toString() === [5,10].toString())', 'console.assert(multiples_of_num(9,2).toString() === [2,4,6,8,10,12,14,16,18].toString())']
```"
21, this function to find the first duplicate element in a given array of integers.,"```javascript
function findFirstDuplicate(nums) {
    let numSet = new Set();
    let noDuplicate = -1;

    for (let i = 0; i < nums.length; i++) {
        if (numSet.has(nums[i])) {
            return nums[i];
        } else {
            numSet.add(nums[i]);
        }
    }

    return noDuplicate;
}
```",22,"```javascript
['console.assert(find_first_duplicate([1, 2, 3, 4, 4, 5]) === 4)', 'console.assert(find_first_duplicate([1, 2, 3, 4]) === -1)', 'console.assert(find_first_duplicate([1, 1, 2, 3, 3, 2, 2]) === 1)']
```"
22, this   function to find the maximum sum of elements of list in a list of lists.,"```javascript
function maximum_Sum(list1) { 
    let maxi = -100000;
    for (let x of list1) { 
        let sum = 0; 
        for (let y of x) { 
            sum += y;      
        }
        maxi = Math.max(sum, maxi);     
    }
    return maxi; 
}
```",23,"```javascript
['console.assert(maximum_Sum([[1,2,3],[4,5,6],[10,11,12],[7,8,9]]) === 33)', 'console.assert(maximum_Sum([[0,1,1],[1,1,2],[3,2,1]]) === 6)', 'console.assert(maximum_Sum([[0,1,3],[1,2,1],[9,8,2],[0,1,0],[6,4,8]]) === 19)'];
```"
23, this function to convert the given binary number to its decimal equivalent.,"```javascript
function binaryToDecimal(binary) {
    let decimal = 0, i = 0;
    while (binary !== 0) {
        let dec = binary % 10;
        decimal += dec * Math.pow(2, i);
        binary = Math.floor(binary / 10);
        i++;
    }
    return decimal;
}
```",24,"```javascript
['console.assert(binary_to_decimal(100) === 4)', 'console.assert(binary_to_decimal(1011) === 11)', 'console.assert(binary_to_decimal(1101101) === 109)']
```"
24, this   function to find the product of non-repeated elements in a given array.,"```javascript
function find_Product(arr, n) { 
    arr.sort(); 
    let prod = 1; 
    for (let i = 0; i < n; i++) { 
        if (arr[i - 1] !== arr[i]) { 
            prod *= arr[i]; 
        } 
    } 
    return prod; 
}
```",25,"```javascript
['console.assert(find_Product([1,1,2,3]) === 6)', 'console.assert(find_Product([1,2,3,1,1]) === 6)', 'console.assert(find_Product([1,1,4,5,6]) === 120)']
```"
25, this function to check if the given tuple list has all k elements.,"```javascript
function checkKElements(testList, K) {
  let res = true;
  for (let tup of testList) {
    for (let ele of tup) {
      if (ele !== K) {
        res = false;
      }
    }
  }
  return res;
}
```",26,"```javascript
console.assert(check_k_elements([(4, 4), (4, 4, 4), (4, 4), (4, 4, 4, 4), (4)], 4) === true);
console.assert(check_k_elements([(7, 7, 7), (7, 7)], 7) === true);
console.assert(check_k_elements([(9, 9), (9, 9, 9, 9)], 7) === false);
```"
26, this   function to remove all digits from a list of strings.,"```javascript
function remove(list) {
    var pattern = /[0-9]/;
    list = list.map(function(i) {
        return i.replace(pattern, '');
    });
    return list;
}
```",27,"```javascript
console.assert(remove(['4words', '3letters', '4digits']).toString() == ['words', 'letters', 'digits'].toString());
console.assert(remove(['28Jan','12Jan','11Jan']).toString() == ['Jan','Jan','Jan'].toString());
console.assert(remove(['wonder1','wonder2','wonder3']).toString() == ['wonder','wonder','wonder'].toString());
```"
27, this   function to find binomial co-efficient.,"```javascript
function binomial_Coeff(n, k) { 
    if (k > n) { 
        return 0; 
    } 
    if (k === 0 || k === n) { 
        return 1; 
    } 
    return binomial_Coeff(n - 1, k - 1) + binomial_Coeff(n - 1, k); 
}
```",28,"```javascript
['console.assert(binomial_Coeff(5, 2) === 10)', 'console.assert(binomial_Coeff(4, 3) === 4)', 'console.assert(binomial_Coeff(3, 2) === 3)']
```"
28, this   function to find the element occurring odd number of times.,"```javascript
function getOddOccurrence(arr, arr_size) {
    for (let i = 0; i < arr_size; i++) {
        let count = 0;
        for (let j = 0; j < arr_size; j++) {
            if (arr[i] === arr[j]) {
                count++;
            }
        }
        if (count % 2 !== 0) {
            return arr[i];
        }
    }
    return -1;
}
```",29,"```javascript
['console.assert(get_Odd_Occurrence([1,2,3,1,2,3,1]) === 1)', 'console.assert(get_Odd_Occurrence([1,2,3,2,3,1,3]) === 3)', 'console.assert(get_Odd_Occurrence([2,3,5,4,5,2,4,3,5,2,4,4,2]) === 5)']
```"
29, this   function to count all the substrings starting and ending with same characters.,"```javascript
function checkEquality(s) { 
    return (s.charCodeAt(0) === s.charCodeAt(s.length - 1)); 
}

function countSubstringWithEqualEnds(s) { 
    let result = 0; 
    let n = s.length; 
    for (let i = 0; i < n; i++) { 
        for (let j = 1; j <= n - i; j++) {  
            if (checkEquality(s.substring(i, i + j))) { 
                result++; 
            } 
        } 
    } 
    return result; 
}
```",30,"```javascript
['console.assert(count_Substring_With_Equal_Ends(""abc"") === 3)', 'console.assert(count_Substring_With_Equal_Ends(""abcda"") === 6)', 'console.assert(count_Substring_With_Equal_Ends(""ab"") === 2)']
```"
30, this function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.,"```javascript
function func(nums, k) {
    const d = {};
    for (const row of nums) {
        for (const i of row) {
            d[i] = (d[i] || 0) + 1;
        }
    }
    const temp = [];
    for (const [key, v] of Object.entries(d)) {
        if (temp.length < k) {
            temp.push([v, key]);
            if (temp.length === k) {
                temp.sort(([a], [b]) => a - b);
            }
        } else {
            if (v > temp[0][0]) {
                temp.shift();
                temp.push([v, key]);
                temp.sort(([a], [b]) => a - b);
            }
        }
    }
    const result = [];
    while (temp.length) {
        const [v, key] = temp.shift();
        result.push(key);
    }
    return result;
}
```",31,"```javascript
['console.assert(func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]], 3).toString() === [5, 7, 1].toString())', 'console.assert(func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]], 1).toString() === [1].toString())', 'console.assert(func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]], 5).toString() === [6, 5, 7, 8, 1].toString())']
```"
31, this   function to find the largest prime factor of a given number.,"```javascript
function maxPrimeFactors(n) { 
    let maxPrime = -1; 
    while (n % 2 === 0) { 
        maxPrime = 2; 
        n >>= 1;    
    } 
    for (let i = 3; i <= Math.sqrt(n); i += 2) { 
        while (n % i === 0) { 
            maxPrime = i; 
            n /= i; 
        } 
    } 
    if (n > 2) { 
        maxPrime = n;  
    } 
    return Math.floor(maxPrime); 
}
```",32,"```javascript
['console.assert(max_Prime_Factors(15) === 5)', 'console.assert(max_Prime_Factors(6) === 3)', 'console.assert(max_Prime_Factors(2) === 2)'];
```"
32, this   function to convert a decimal number to binary number.,"```javascript
function decimalToBinary(N) {
    let B_Number = 0;
    let cnt = 0;
    while (N !== 0) {
        let rem = N % 2;
        let c = Math.pow(10, cnt);
        B_Number += rem * c;
        N = Math.floor(N / 2);
        cnt++;
    }
    return B_Number;
}
```",33,"```javascript
['console.assert(decimal_To_Binary(10) === 1010)', 'console.assert(decimal_To_Binary(1) === 1)', 'console.assert(decimal_To_Binary(20) === 10100)']
```"
33, this   function to find the missing number in a sorted array.,"```javascript
function findMissing(ar, N) { 
    let l = 0; 
    let r = N - 1; 
    while (l <= r) {  
        let mid = Math.floor((l + r) / 2); 
        if (ar[mid] !== mid + 1 && ar[mid - 1] === mid) { 
            return mid + 1;  
        } else if (ar[mid] !== mid + 1) { 
            r = mid - 1; 
        } else { 
            l = mid + 1; 
        } 
    } 
    return -1; 
}
```",34,"```javascript
['console.assert(find_missing([1,2,3,5]) === 4)', 'console.assert(find_missing([1,3,4,5]) === 2)', 'console.assert(find_missing([1,2,3,5,6,7]) === 4)']
```"
34, this function to find the n-th rectangular number.,"```javascript
function findRectNum(n) {
  return n * (n + 1);
}
```",35,"```javascript
['console.assert(find_rect_num(4) === 20)', 'console.assert(find_rect_num(5) === 30)', 'console.assert(find_rect_num(6) === 42)'];
```"
35, this   function to find the nth digit in the proper fraction of two given numbers.,"```javascript
function find_Nth_Digit(p, q, N) {  
    while (N > 0) { 
        N -= 1;  
        p *= 10;  
        res = Math.floor(p / q);  
        p %= q;  
    } 
    return res;  
}
```",36,"```javascript
['console.assert(find_Nth_Digit(1, 2, 1) === 5)', 'console.assert(find_Nth_Digit(3, 5, 1) === 6)', 'console.assert(find_Nth_Digit(5, 6, 5) === 3)'];
```"
36, this function to sort a given mixed list of integers and strings.,"```javascript
function sortMixedList(mixedList) {
    const intPart = mixedList.filter(i => typeof i === 'number').sort((a, b) => a - b);
    const strPart = mixedList.filter(i => typeof i === 'string').sort();
    return intPart.concat(strPart);
}
```",37,"```javascript
[""console.assert(sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1]).toString() === [1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white'].toString())"", ""console.assert(sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1]).toString() === [1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white'].toString())"", ""console.assert(sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1]).toString() === [1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white'].toString())""]
```"
37, this function to find the division of first even and odd number of a given list.,"```javascript
function divEvenOdd(list1) {
    const firstEven = list1.find(el => el % 2 === 0) || -1;
    const firstOdd = list1.find(el => el % 2 !== 0) || -1;
    return firstEven / firstOdd;
}
```",38,"```javascript
['console.assert(div_even_odd([1,3,5,7,4,1,6,8]) === 4)', 'console.assert(div_even_odd([1,2,3,4,5,6,7,8,9,10]) === 2)', 'console.assert(div_even_odd([1,5,7,9,10]) === 10)']
```"
38, this function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.,"```javascript
function rearrangeString(S) {
    const ctr = {};
    for (const char of S) {
        ctr[char] = (ctr[char] || 0) + 1;
    }
    
    const heap = Object.entries(ctr).map(([key, value]) => [-value, key]);
    heapify(heap);
    
    if (-heap[0][0] * 2 > S.length + 1) {
        return """";
    }
    
    const ans = [];
    while (heap.length >= 2) {
        const [nct1, char1] = heapPop(heap);
        const [nct2, char2] = heapPop(heap);
        ans.push(char1, char2);
        
        if (nct1 + 1) heapPush(heap, [nct1 + 1, char1]);
        if (nct2 + 1) heapPush(heap, [nct2 + 1, char2]);
    }
    
    return ans.join("""") + (heap.length ? heap[0][1] : """");
}

function heapify(arr) {
    for (let i = Math.floor(arr.length / 2) - 1; i >= 0; i--) {
        heapifyDown(arr, i);
    }
}

function heapifyDown(heap, idx) {
    const left = 2 * idx + 1;
    const right = 2 * idx + 2;
    let largest = idx;

    if (left < heap.length && heap[left][0] > heap[largest][0]) {
        largest = left;
    }
    if (right < heap.length && heap[right][0] > heap[largest][0]) {
        largest = right;
    }
    if (largest !== idx) {
        [heap[idx], heap[largest]] = [heap[largest], heap[idx]];
        heapifyDown(heap, largest);
    }
}

function heapPop(heap) {
    const top = heap[0];
    heap[0] = heap[heap.length - 1];
    heap.pop();
    heapifyDown(heap, 0);
    return top;
}

function heapPush(heap, value) {
    heap.push(value);
    let idx = heap.length - 1;
    while (idx > 0) {
        const parent = Math.floor((idx - 1) / 2);
        if (heap[idx][0] > heap[parent][0]) {
            [heap[idx], heap[parent]] = [heap[parent], heap[idx]];
            idx = parent;
        } else {
            break;
        }
    }
}
```",39,"```javascript
['console.assert(rearange_string(""aab"") === ""aba"")', 'console.assert(rearange_string(""aabb"") === ""abab"")', 'console.assert(rearange_string(""abccdd"") === ""cdabcd"")']
```"
39, this function to find frequency of the elements in a given list of lists using collections module.,"```javascript
function freqElement(nums) {
  const result = {};
  nums.flat().forEach(num => {
    result[num] = (result[num] || 0) + 1;
  });
  return result;
}
```",40,"```javascript
console.assert(JSON.stringify(freq_element([[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]])) === JSON.stringify({2: 3, 1: 2, 5: 2, 3: 1, 4: 1, 6: 1, 7: 1, 9: 1}));
console.assert(JSON.stringify(freq_element([[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12]])) === JSON.stringify({1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1}));
console.assert(JSON.stringify(freq_element([[15, 20, 30, 40], [80, 90, 100, 110], [30, 30, 80, 90]])) === JSON.stringify({30: 3, 80: 2, 90: 2, 15: 1, 20: 1, 40: 1, 100: 1, 110: 1}));
```"
40, this function to filter even numbers using lambda function.,"```javascript
function filterEvenNumbers(nums) {
    const evenNums = nums.filter(x => x % 2 === 0);
    return evenNums;
}
```",41,"```javascript
['console.assert(filter_evennumbers([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]).toString() === [2, 4, 6, 8, 10].toString())', 'console.assert(filter_evennumbers([10,20,45,67,84,93]).toString() === [10,20,84].toString())', 'console.assert(filter_evennumbers([5,7,9,8,6,4,3]).toString() === [8,6,4].toString())']
```"
41, this   function to find the sum of repeated elements in a given array.,"```javascript
function findSum(arr, n) {
    return arr.filter(x => arr.filter(y => y === x).length > 1).reduce((a, b) => a + b, 0);
}
```",42,"```javascript
['console.assert(find_Sum([1,2,3,1,1,4,5,6],8) === 3)', 'console.assert(find_Sum([1,2,3,1,1],5) === 3)', 'console.assert(find_Sum([1,1,2],3) === 2)']
```"
42, this function to find sequences of lowercase letters joined with an underscore using regex.,"```javascript
function textMatch(text) {
  const patterns = /^[a-z]+_[a-z]+$/;
  if (patterns.test(text)) {
    return 'Found a match!';
  } else {
    return 'Not matched!';
  }
}
```",43,"```javascript
['console.assert(text_match(""aab_cbbbc"") === ""Found a match!"");', 'console.assert(text_match(""aab_Abbbc"") === ""Not matched!"");', 'console.assert(text_match(""Aaab_abbbc"") === ""Not matched!"");']
```"
43, this function that matches a word at the beginning of a string.,"```javascript
function textMatchString(text) {
    const patterns = /^\w+/;
    if (patterns.test(text)) {
        return 'Found a match!';
    } else {
        return 'Not matched!';
    }
}
```",44,"```javascript
['console.assert(text_match_string(""  "") === ""Not matched!"");', 'console.assert(text_match_string("" "") === ""Found a match!"");', 'console.assert(text_match_string(""  lang"") === ""Not matched!"");']
```"
44, this function to find the gcd of the given array elements.,"```javascript
function findGCD(x, y) {
    while (y) {
        let temp = y;
        y = x % y;
        x = temp;
    }
    return x;
}

function getGCD(l) {
    let num1 = l[0];
    let num2 = l[1];
    let gcd = findGCD(num1, num2);
    for (let i = 2; i < l.length; i++) {
        gcd = findGCD(gcd, l[i]);
    }
    return gcd;
}
```",45,"```javascript
['console.assert(get_gcd([2, 4, 6, 8, 16]) === 2)', 'console.assert(get_gcd([1, 2, 3]) === 1)', 'console.assert(get_gcd([2, 4, 6, 8]) === 2)']
```"
45, this   function to determine whether all the numbers are different from each other are not.,"```javascript
function testDistinct(data) {
  return data.length === new Set(data).size;
}
```",46,"```javascript
console.assert(test_distinct([1,5,7,9]) === true);
console.assert(test_distinct([2,4,5,5,7,9]) === false);
console.assert(test_distinct([1,2,3]) === true);
```"
46, this   function to find the last digit when factorial of a divides factorial of b.,"```javascript
function compute_Last_Digit(A, B) {
    let variable = 1;
    if (A === B) {
        return 1;
    } else if ((B - A) >= 5) {
        return 0;
    } else {
        for (let i = A + 1; i <= B; i++) {
            variable = (variable * (i % 10)) % 10;
        }
        return variable % 10;
    }
}
```",47,"```javascript
['console.assert(compute_Last_Digit(2, 4) === 2)', 'console.assert(compute_Last_Digit(6, 8) === 6)', 'console.assert(compute_Last_Digit(1, 2) === 2)'];
```"
47, this   function to set all odd bits of a given number.,"```javascript
function oddBitSetNumber(n) {
    let count = 0, res = 0, temp = n;
    while (temp > 0) {
        if (count % 2 === 0) {
            res |= (1 << count);
        }
        count++;
        temp >>= 1;
    }
    return (n | res);
}
```",48,"```javascript
console.assert(odd_bit_set_number(10) === 15);
console.assert(odd_bit_set_number(20) === 21);
console.assert(odd_bit_set_number(30) === 31);
```"
