Unnamed: 0,text,code,task_id,test_list,Unnamed: 5
226, this function to find minimum of three numbers.,"
function minOfThree(a, b, c) {
    let smallest;
    if (a <= b && a <= c) {
        smallest = a;
    } else if (b <= a && b <= c) {
        smallest = b;
    } else {
        smallest = c;
    }
    return smallest;
}
",227,"
[console.assert(minOfThree(10, 20, 0) === 0), console.assert(minOfThree(19, 15, 18) === 15), console.assert(minOfThree(-10, -20, -30) === -30)]
",
234, this   function to set all even bits of a given number.,"
function evenBitSetNumber(n) {
    let count = 0, res = 0, temp = n;
    while (temp > 0) {
        if (count % 2 === 1) {
            res |= (1 << count);
        }
        count += 1;
        temp >>= 1;
    }
    return (n | res);
}
",235,"
[console.assert(evenBitSetNumber(10) === 10), console.assert(evenBitSetNumber(20) === 30), console.assert(evenBitSetNumber(30) === 30)]
",
281, this function to substaract two lists using map and lambda function.,"
function subList(nums1, nums2) {
  const result = nums1.map((x, index) => x - nums2[index]);
  return result;
}
",282,"[console.assert(JSON.stringify(subList([1, 2, 3],[4,5,6]))) === JSON.stringify([-3,-3,-3]),
 console.assert(JSON.stringify(subList([1,2],[3,4]))) === JSON.stringify([-2,-2]), 
 console.assert(JSON.stringify(subList([90,120],[50,70]))) === JSON.stringify([40,50])]",
283, this function to check whether all items of a list are equal to a given string.,"
function checkElement(list, element) {
  const checkElement = list.every(v => v === element);
  return checkElement;
}
",284,"
[console.assert(checkElement([""green"", ""orange"", ""black"", ""white""], ""blue"") === false), console.assert(checkElement([1, 2, 3, 4], 7) === false), console.assert(checkElement([""green"", ""green"", ""green"", ""green""], ""green"") === true)]
",
306, this function to get a colon of a tuple.,"function colonTuplex(tuplex, m, n) {
  let tuplexColon = [...tuplex]; 
  tuplexColon[m] = [...tuplexColon[m], n]; 
  return tuplexColon;
}",307,"[console.assert(
  JSON.stringify(colonTuplex([""HELLO"", 5, [], true], 2, 50)) === JSON.stringify([""HELLO"", 5, [50], true]),
  ""Test Case 1 Failed""
),
console.assert(
  JSON.stringify(colonTuplex([""HELLO"", 5, [], true], 2, 100)) === JSON.stringify([""HELLO"", 5, [100], true]),
  ""Test Case 2 Failed""
),
console.assert(
  JSON.stringify(colonTuplex([""HELLO"", 5, [], true], 2, 500)) === JSON.stringify([""HELLO"", 5, [500], true]),
  ""Test Case 3 Failed""
)]",
308, this   function to find the maximum of two numbers.,"
function maximum(a, b) {
    if (a >= b) {
        return a;
    } else {
        return b;
    }
}
",309,"
[console.assert(maximum(5,10) === 10), console.assert(maximum(-1,-2) === -1), console.assert(maximum(9,7) === 9)]
",
373, this function to print all permutations of a given string including duplicates.,"function permuteString(str) {
  if (str.length === 0) {
      return [""""];
  }

  const prevList = permuteString(str.slice(1));
  const nextList = [];

  for (let i = 0; i < prevList.length; i++) {
      for (let j = 0; j <= prevList[i].length; j++) {
          const newStr = prevList[i].slice(0, j) + str[0] + prevList[i].slice(j);
          nextList.push(newStr);
      }
  }
  return nextList;
}",374,"[console.assert(
  JSON.stringify(permuteString(""ab"").sort()) === JSON.stringify([""ab"", ""ba""].sort()),
  ""Test Case 1 Failed""
),
console.assert(
  JSON.stringify(permuteString(""abc"").sort()) === JSON.stringify([""abc"", ""acb"", ""bac"", ""bca"", ""cab"", ""cba""].sort()),
  ""Test Case 2 Failed""
),
console.assert(
  JSON.stringify(permuteString(""abcd"").sort()) === JSON.stringify([
    ""abcd"", ""abdc"", ""acbd"", ""acdb"", ""adbc"", ""adcb"",
    ""bacd"", ""badc"", ""bcad"", ""bcda"", ""bdac"", ""bdca"",
    ""cabd"", ""cadb"", ""cbad"", ""cbda"", ""cdab"", ""cdba"",
    ""dabc"", ""dacb"", ""dbac"", ""dbca"", ""dcab"", ""dcba""
  ].sort()),
  ""Test Case 3 Failed""
)]",
383, this   function to find the frequency of the smallest value in a given array.,"function frequencyOfSmallest(n, arr) {
  let mn = arr[0];
  let freq = 1;
  for (let i = 1; i < n; i++) {
      if (arr[i] < mn) {
          mn = arr[i];
          freq = 1;
      } else if (arr[i] === mn) {
          freq++;
      }
  }
  return freq;
}",384,"
[console.assert(frequencyOfSmallest(5, [1, 2, 3, 4, 3]) === 1), console.assert(frequencyOfSmallest(7, [3, 1, 2, 5, 6, 2, 3]) === 1), console.assert(frequencyOfSmallest(7, [3, 3, 6, 3, 7, 4, 9]) === 3)]
",
387, this   function to find the highest power of 2 that is less than or equal to n.,"
function highestPowerOf2(n) {
    let res = 0;
    for (let i = n; i > 0; i--) {
        if ((i & (i - 1)) === 0) {
            res = i;
            break;
        }
    }
    return res;
}
",388,"
[console.assert(highestPowerOf2(10) === 8), console.assert(highestPowerOf2(19) === 16), console.assert(highestPowerOf2(32) === 32)]
",
395, this function to check whether the given string starts and ends with the same character or not using regex.,"function checkChar(string) {
  const regex = /^[a-z]$|^([a-z]).*\1$/;
    if (regex.test(string)) {
        return ""Valid"";
    } else {
        return ""Invalid"";
    }
}",396,"
[console.assert(checkChar(""abba"") === ""Valid""), console.assert(checkChar(""a"") === ""Valid""), console.assert(checkChar(""abcd"") === ""Invalid"")]
",
409, this function to find the minimum value in a given heterogeneous list.,"
function minVal(listval) {
    const minVal = Math.min(...listval.filter(i => Number.isInteger(i)));
    return minVal;
}
",410,"[
    console.assert(minVal([undefined, 3, 2, 4, 5]) === 2, ""Test 1 failed""),
    console.assert(minVal([undefined, 15, 20, 25]) === 15, ""Test 2 failed""),
    console.assert(minVal([undefined, 30, 20, 40, 50]) === 20, ""Test 3 failed"")
]",
410, this function to convert the given snake case string to camel case string by using regex.,"function snakeToCamel(word) {
  return word
    .split(""_"")
    .map(x => x.charAt(0).toUpperCase() + x.slice(1))
    .join("""");
}",411,"[
    console.assert(snakeToCamel(""android_tv"") === ""AndroidTv"", ""Test 1 failed""),
    console.assert(snakeToCamel(""google_pixel"") === ""GooglePixel"", ""Test 2 failed""),
    console.assert(snakeToCamel(""apple_watch"") === ""AppleWatch"", ""Test 3 failed"")
]",
425, this function to filter odd numbers using lambda function.,"
function filter_oddnumbers(nums) {
    const oddNums = nums.filter(x => x % 2 !== 0);
    return oddNums;
}
",426,"
[console.assert(filter_oddnumbers([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]).toString() === [1,3,5,7,9].toString()), console.assert(filter_oddnumbers([10,20,45,67,84,93]).toString() === [45,67,93].toString()), console.assert(filter_oddnumbers([5,7,9,8,6,4,3]).toString() === [5,7,9,3].toString())]
",
448, this   function to check whether the triangle is valid or not if 3 points are given.,"function check_Triangle(x1, y1, x2, y2, x3, y3) { 
  let a = (x1 * (y2 - y3) + x2 * (y3 - y1) + x3 * (y1 - y2));   
  return a === 0 ? ""No"" : ""Yes"";
}",449,"[
    console.assert(check_Triangle(1, 5, 2, 5, 4, 6) === ""Yes""),
    console.assert(check_Triangle(1, 1, 1, 4, 1, 5) === ""No""),
    console.assert(check_Triangle(1, 1, 1, 1, 1, 1) === ""No"")
]",
450, this function to remove all whitespaces from the given string using regex.,"function removeWhitespaces(text1) {
  return text1.replace(/\s+/g,'' );
}",451,"[
    console.assert(removeWhitespaces(""Google    Flutter"") === ""GoogleFlutter""),
    console.assert(removeWhitespaces(""Google    Dart"") === ""GoogleDart""),
    console.assert(removeWhitespaces(""iOS    Swift"") === ""iOSSwift"")
]",
465, this function to find the peak element in the given array.,"function find_peak(arr) {
  let low = 0;
  let high = arr.length - 1;

  while (low <= high) {
    let mid = low + Math.floor((high - low) / 2);

    if ((mid === 0 || arr[mid - 1] <= arr[mid]) &&
        (mid === arr.length - 1 || arr[mid + 1] <= arr[mid])) {
      return mid;
    } else if (mid > 0 && arr[mid - 1] > arr[mid]) {
      high = mid - 1;
    } else {
      low = mid + 1;
    }
  }

  return -1;
}",466,"[console.assert(find_peak([1, 3, 20, 4, 1, 0], 6) === 2),
console.assert(find_peak([2, 3, 4, 5, 6], 5) === 4),
console.assert(find_peak([8, 9, 11, 12, 14, 15], 6) === 5)]
",
478, this   function to find the first digit of a given number.,"
function firstDigit(n) {
    while (n >= 10) {
        n = n / 10;
    }
    return Math.floor(n);
}
",479,"[
  console.assert(firstDigit(123) === 1),
  console.assert(firstDigit(456) === 4),
  console.assert(firstDigit(12) === 1)
]",
485, this function to compute binomial probability for the given number.,"function binomialProbability(n, k, p) {
  
  if (k > n / 2) {
    k = n - k; 
  }
  let nCr = 1;
  for (let i = 1; i <= k; i++) {
    nCr *= (n - k + i);
    nCr /= i;
  }
  return nCr * Math.pow(p, k) * Math.pow(1 - p, n - k);
}",486,"[
  console.assert(
    binomialProbability(5, 2, 0.5).toFixed(4) === ""0.3125"",
    ""Test case 1 failed""
  ),
  console.assert(
    binomialProbability(10, 3, 0.3).toFixed(4) === ""0.2668"",
    ""Test case 2 failed""
  ),
  console.assert(
    binomialProbability(8, 4, 0.6).toFixed(4) === ""0.2322"",
    ""Test case 3 failed""
  ),
]",
489, this function to extract all the pairs which are symmetric in the given tuple list.,"function extract_symmetric(testList) {
  const symmetricPairs = new Set();
  const uniquePairs = new Set(testList.map(([a, b]) => `${Math.min(a, b)},${Math.max(a, b)}`));

  for (const [a, b] of testList) {
    if (testList.some(([x, y]) => x === b && y === a)) {
      symmetricPairs.add(`${Math.min(a, b)},${Math.max(a, b)}`);
    }
  }

  return new Set([...symmetricPairs].map(pair => pair.split("","").map(Number)));
}",490,"[console.assert(
  JSON.stringify([...extract_symmetric([[6, 7], [2, 3], [7, 6], [9, 8], [10, 2], [8, 9]])]) === JSON.stringify([[6, 7], [8, 9]]),
  ""Test case 1 failed""
),
console.assert(
  JSON.stringify([...extract_symmetric([[7, 8], [3, 4], [8, 7], [10, 9], [11, 3], [9, 10]])]) === JSON.stringify([[7, 8], [9, 10]]),
  ""Test case 2 failed""
),
console.assert(
  JSON.stringify([...extract_symmetric([[8, 9], [4, 5], [9, 8], [11, 10], [12, 4], [10, 11]])]) === JSON.stringify([[8, 9], [10, 11]]),
  ""Test case 3 failed""
)]",
510, this   function to find minimum sum of factors of a given number.,"
function find_Min_Sum(num) {
    let sum = 0;
    let i = 2;
    while (i * i <= num) {
        while (num % i === 0) {
            sum += i;
            num /= i;
        }
        i += 1;
    }
    sum += num;
    return sum;
}
",511,"
[console.assert(find_Min_Sum(12) === 7), console.assert(find_Min_Sum(105) === 15), console.assert(find_Min_Sum(2) === 2)]
",
524, this   function to check whether two given lines are parallel or not.,"
function parallelLines(line1, line2) {
    return line1[0] / line1[1] === line2[0] / line2[1];
}
",525,"[
  console.assert(parallelLines([2,3,4], [2,3,8]) === true),
  console.assert(parallelLines([2,3,4], [4,-3,8]) === false),
  console.assert(parallelLines([3,3], [5,5]) === true)
]",
541," this function to replace all occurrences of spaces, commas, or dots with a colon in the given string by using regex.","
function fillSpaces(text) {
  return text.replace(/[ ,.]/g, "":"");
}
",542,"[
  console.assert(fillSpaces(""Boult Curve Wireless Neckband"") === ""Boult:Curve:Wireless:Neckband""),
  console.assert(fillSpaces(""Stereo Sound Sweatproof"") === ""Stereo:Sound:Sweatproof""),
  console.assert(fillSpaces(""Probass Curve Audio"") === ""Probass:Curve:Audio"")
]",
545, this function to find the last occurrence of a character in a string.,"
function ast_occurence_char(string, char) {
  let flag = -1;
  for (let i = 0; i < string.length; i++) {
      if (string[i] === char) {
          flag = i;
      }
  }
  if (flag === -1) {
      return null;
  } else {
      return flag + 1;
  }
}",546,"[console.assert(ast_occurence_char(""hello world"", 'l') === 10, ""Test case 1 failed""),
console.assert(ast_occurence_char(""language"", 'g') === 7, ""Test case 2 failed""),
console.assert(ast_occurence_char(""little"", 'y') === null, ""Test case 3 failed"")]",
565, this function to get the sum of a non-negative integer.,"
function sumDigits(n) {
  if (n === 0) {
    return 0;
  } else {
    return n % 10 + sumDigits(Math.floor(n / 10));
  }
}
",566,"
[console.assert(sumDigits(345) === 12), console.assert(sumDigits(12) === 3), console.assert(sumDigits(97) === 16)]
",
568, this function to sort each sublist of strings in a given list of lists.,"
function sortSublists(list1) {
    const result = list1.map(sublist => sublist.sort());
    return result;
}
",569,"[
    console.assert(sortSublists([[""green"", ""orange""], [""black"", ""white""], [""white"", ""black"", ""orange""]]).toString() === [[""green"", ""orange""], [""black"", ""white""], [""black"", ""orange"", ""white""]].toString()),
    console.assert(sortSublists([[""green"", ""orange""], [""black""], [""green"", ""orange""], [""white""]]).toString() === [[""green"", ""orange""], [""black""], [""green"", ""orange""], [""white""]].toString()),
    console.assert(sortSublists([[""a"", ""b""], [""d"", ""c""], [""g"", ""h""], [""f"", ""e""]]).toString() === [[""a"", ""b""], [""c"", ""d""], [""g"", ""h""], [""e"", ""f""]].toString())
]",
570, this function to find maximum possible sum of disjoint pairs for the given array of integers and a number k.,"
function max_sum_pair_diff_lessthan_K(arr, N, K) {
    arr.sort((a, b) => a - b);
    let dp = new Array(N).fill(0);
    dp[0] = 0;
    for (let i = 1; i < N; i++) {
        dp[i] = dp[i - 1];
        if (arr[i] - arr[i - 1] < K) {
            if (i >= 2) {
                dp[i] = Math.max(dp[i], dp[i - 2] + arr[i] + arr[i - 1]);
            } else {
                dp[i] = Math.max(dp[i], arr[i] + arr[i - 1]);
            }
        }
    }
    return dp[N - 1];
}
",571,"
[console.assert(max_sum_pair_diff_lessthan_K([3, 5, 10, 15, 17, 12, 9], 7, 4) === 62), console.assert(max_sum_pair_diff_lessthan_K([5, 15, 10, 300], 4, 12) === 25), console.assert(max_sum_pair_diff_lessthan_K([1, 2, 3, 4, 5, 6], 6, 6) === 21)]
",
595, this function to find the size of the given tuple.,"function tupleSize(tupleList) {
  let totalSize = 0;
  for (const item of tupleList) {
    if (typeof item === ""string"") {
      totalSize += item.length * 2; 
    } else if (typeof item === ""number"") {
      totalSize += 8; 
    } else if (Array.isArray(item)) {
      totalSize += tupleSize(item); 
    }
  }
  return totalSize;
}",596,"[console.assert(tupleSize([""A"", 1, ""B"", 2, ""C"", 3]) > 0, ""Test case 1 failed""),
console.assert(tupleSize([1, ""Raju"", 2, ""Nikhil"", 3, ""Deepanshu""]) > 0, ""Test case 2 failed""),
console.assert(tupleSize([[1, ""Lion""], [2, ""Tiger""], [3, ""Fox""], [4, ""Wolf""]]) > 0, ""Test case 3 failed"")]",
599, this   function to check whether the given number is even or not using bitwise operator.,"
function is_Even(n) { 
    if ((n ^ 1) === (n + 1)) { 
        return true; 
    } else { 
        return false; 
    } 
}
",600,"
[console.assert(is_Even(1) === false), console.assert(is_Even(2) === true), console.assert(is_Even(3) === false)]
",
601, this   function to find the first repeated character in a given string.,"
function firstRepeatedChar(str1) {
  for (let index = 0; index < str1.length; index++) {
    let c = str1[index];
    if (str1.slice(0, index + 1).split(c).length - 1 > 1) {
      return c;
    }
  }
  return ""None"";
}
",602,"
[console.assert(firstRepeatedChar(""abcabc"") === ""a""), console.assert(firstRepeatedChar(""abc"") === ""None""), console.assert(firstRepeatedChar(""123123"") === ""1"")]
",
603, this function to reverse words in a given string.,"function reverseWords(s) {
  return s.split("" "").reverse().join("" "");
}",604,"
[console.assert(reverseWords(""  program"") === ""program  ""), console.assert(reverseWords(""java language"") === ""language java""), console.assert(reverseWords(""indian man"") === ""man indian"")]
",
608, this   function to find minimum possible value for the given periodic function.,"
function floor_Min(A, B, N) {
    let x = Math.max(B - 1, N);
    return Math.floor((A * x) / B);
}
",609,"
[console.assert(floor_Min(10, 20, 30) === 15), console.assert(floor_Min(1, 2, 1) === 0), console.assert(floor_Min(11, 10, 9) === 9)];
",
611, this   function to merge the first and last elements separately in a list of lists.,"function merge(lst) {
  return lst[0].map((_, colIndex) => lst.map(row => row[colIndex]));
}",612,"[console.assert(
  JSON.stringify(merge([[""x"", ""y""], [""a"", ""b""], [""m"", ""n""]])) === JSON.stringify([[""x"", ""a"", ""m""], [""y"", ""b"", ""n""]]),
  ""Test 1 Failed""
),
console.assert(
  JSON.stringify(merge([[1, 2], [3, 4], [5, 6], [7, 8]])) === JSON.stringify([[1, 3, 5, 7], [2, 4, 6, 8]]),
  ""Test 2 Failed""
),
console.assert(
  JSON.stringify(merge([[""x"", ""y"", ""z""], [""a"", ""b"", ""c""], [""m"", ""n"", ""o""]])) === JSON.stringify([[""x"", ""a"", ""m""], [""y"", ""b"", ""n""], [""z"", ""c"", ""o""]]),
  ""Test 3 Failed""
)]",
