Unnamed: 0,text,code,task_id,modified
125,This is  a C++ function to find the sum of common divisors of two given numbers.,"```
#include <iostream>
#include <algorithm>
#include <cassert>

int sum(int a, int b) {
    int sum = 0;
    for (int i = 1; i < std::min(a, b); ++i) {
        if (a % i == 0 && b % i == 0) {
            sum += i;
        }
    }
    return sum; // Return only the sum
}```",126,"[assert(sum(10, 15) == 6);  // Sum of common divisors: 1, 2, 5, assert(sum(100, 150) == 93);  // Sum of common divisors: 1, 2, 5, 10, 25, 50, assert(sum(4, 6) == 3);  // Sum of common divisors: 1, 2]"
128,This is  a function to calculate magic square.,"```
#include <vector>
#include <numeric>
#include <set>

bool magic_square_test(const std::vector<std::vector<int>>& my_matrix) {
    int iSize = my_matrix[0].size();
    std::vector<int> sum_list;

    for (const auto& lines : my_matrix) {
        sum_list.push_back(std::accumulate(lines.begin(), lines.end(), 0));
    }

    for (int col = 0; col < iSize; ++col) {
        int col_sum = 0;
        for (int row = 0; row < my_matrix.size(); ++row) {
            col_sum += my_matrix[row][col];
        }
        sum_list.push_back(col_sum);
    }

    int result1 = 0;
    for (int i = 0; i < iSize; ++i) {
        result1 += my_matrix[i][i];
    }
    sum_list.push_back(result1);

    int result2 = 0;
    for (int i = iSize - 1; i >= 0; --i) {
        result2 += my_matrix[i][i];
    }
    sum_list.push_back(result2);

    return std::set<int>(sum_list.begin(), sum_list.end()).size() <= 1;
}
```",129,"[assert(magic_square_test({{7, 12, 1, 14}, {2, 13, 8, 11}, {16, 3, 10, 5}, {9, 6, 15, 4}}) == true);, assert(magic_square_test({{2, 7, 6}, {9, 5, 1}, {4, 3, 8}}) == true);, assert(magic_square_test({{2, 7, 6}, {9, 5, 1}, {4, 3, 7}}) == false);]"
149,This is  a C++ function to find whether the given number is present in the infinite sequence or not.,"```
bool does_Contain_B(int a, int b, int c) { 
    if (a == b) { 
        return true; 
    } 
    if ((b - a) * c > 0 && (b - a) % c == 0) { 
        return true; 
    } 
    return false; 
}
```",150,"[assert(does_Contain_B(1, 7, 3) == true);, assert(does_Contain_B(1, -3, 5) == false);, assert(does_Contain_B(3, 2, 5) == false);]"
170,This is  a function to find the perimeter of a pentagon.,"```

#include <iostream>

double perimeter_pentagon(double a) {
    double perimeter = 5 * a;
    return perimeter;
}```",171,"[assert(perimeter_pentagon(5) == 25);, assert(perimeter_pentagon(10) == 50);, assert(perimeter_pentagon(15) == 75);]"
188,This is  a C++ function to find the first missing positive number.,"```
#include <vector>
using namespace std;

int first_Missing_Positive(vector<int>& arr, int n) {
    int ptr = 0;
    for (int i = 0; i < n; i++) {
        if (arr[i] == 1) {
            ptr = 1;
            break;
        }
    }
    if (ptr == 0) {
        return 1;
    }
    for (int i = 0; i < n; i++) {
        if (arr[i] <= 0 || arr[i] > n) {
            arr[i] = 1;
        }
    }
    for (int i = 0; i < n; i++) {
        arr[(arr[i] - 1) % n] += n;
    }
    for (int i = 0; i < n; i++) {
        if (arr[i] <= n) {
            return i + 1;
        }
    }
    return n + 1;
}
```",189,"[assert(first_Missing_Positive({ 1, 2, 3, -1, 5 }, 5) == 4);, assert(first_Missing_Positive({ 0, -1, -2, 1, 5, 8 }, 6) == 2);, assert(first_Missing_Positive({ 0, 1, 2, 5, -8 }, 5) == 3);]"
196,This is  a function to perform the exponentiation of the given two tuples.,"```
#include <iostream>
#include <vector>
#include <cmath>
#include <cassert>

std::vector<int> findExponentio(const std::vector<int>& testTup1, const std::vector<int>& testTup2) {
    std::vector<int> res(testTup1.size());
    for (size_t i = 0; i < testTup1.size(); ++i) {
        res[i] = static_cast<int>(std::pow(testTup1[i], testTup2[i])); // Exponentiation and cast to int
    }
    return res;
}```",197,"[assert((findExponentio({ 10, 4, 5, 6 }, { 5, 6, 7, 5 }) == std::vector<int>{100000, 4096, 78125, 7776}));, assert((findExponentio({ 11, 5, 6, 7 }, { 6, 7, 8, 6 }) == std::vector<int>{1771561, 78125, 1679616, 117649}));, assert((findExponentio({ 12, 6, 7, 8 }, { 7, 8, 9, 7 }) == std::vector<int>{35831808, 1679616, 40353607, 2097152}));]"
203,This is  a C++ function to count the occurrence of a given character in a string.,"```
#include <string>

std::pair<int, int> count(const std::string& s, char c) {
    int res = 0;
    for (size_t i = 0; i < s.length(); ++i) {
        if (s[i] == c) {
            res = res + 1;
        }
    }
    return {res, 0}; // Returning 0 as the second value since it's not defined in C++ code
}
```",204,"[assert(count(""abcc"", \c\).first == 2);, assert(count(""ababca"", \a\).first == 3);, assert(count(""mnmm0pm"", \m\).first == 4);]"
212,This is  a function to perform the concatenation of two string tuples.,"```
#include <iostream>
#include <vector>
#include <cassert>

std::vector<std::string> concatenateStrings(const std::vector<std::string>& testTup1, const std::vector<std::string>& testTup2) {
    std::vector<std::string> res(testTup1.size());
    for (size_t i = 0; i < testTup1.size(); ++i) {
        res[i] = testTup1[i] + testTup2[i];  // Concatenate the strings
    }
    return res;
}```",213,"[assert((concatenateStrings({ ""Manjeet"", ""Nikhil"", ""Akshat"" }, { "" Singh"", "" Meherwal"", "" Garg"" }) == std::vector<std::string>{""Manjeet Singh"", ""Nikhil Meherwal"", ""Akshat Garg""}));, assert((concatenateStrings({ ""Shaik"", ""Ayesha"", ""Sanya"" }, { "" Dawood"", "" Begum"", "" Singh"" }) == std::vector<std::string>{""Shaik Dawood"", ""Ayesha Begum"", ""Sanya Singh""}));, assert((concatenateStrings({ ""Harpreet"", ""Priyanka"", ""Muskan"" }, { ""Kour"", "" Agarwal"", ""Sethi"" }) == std::vector<std::string>{""HarpreetKour"", ""Priyanka Agarwal"", ""MuskanSethi""}));]"
217,This is  a C++ function to find the minimum operations required to make two numbers equal.,"```
#include <iostream>
#include <algorithm>
#include <numeric>
#include <cassert>
#include <cmath>

std::pair<int, int> min_Operations(int A, int B) {
    if (A > B) {
        std::swap(A, B);
    }

    int gcd_value = std::gcd(A, B);
    B = B / gcd_value;  // Divide B by the greatest common divisor
    int operations = B - 1;  // The number of operations needed
    return { operations, 0 };   // Return the number of operations and 0 as the second part of the pair
}
```",218,"[assert(min_Operations(2, 4).first == 1);  // Expected result for 2, 4, assert(min_Operations(4, 10).first == 4); // Expected result for 4, 10, assert(min_Operations(1, 4).first == 3);  // Expected result for 1, 4]"
220,This is  a C++ function to find the first even number in a given list of numbers.,"```
#include <iostream>
#include <vector>
#include <algorithm>
#include <cassert>

int firstEven(const std::vector<int>& nums) {
    auto it = std::find_if(nums.begin(), nums.end(), [](int el) { return el % 2 == 0; });
    return (it != nums.end()) ? *it : -1;
}```",221,"[assert(firstEven({ 1, 3, 5, 7, 4, 1, 6, 8 }) == 4);, assert(firstEven({ 2, 3, 4 }) == 2);, assert(firstEven({ 5, 6, 7 }) == 6);]"
226,This is  a function to find minimum of three numbers.,"```
#include <iostream>
#include <cassert>

int min_of_three(int a, int b, int c) {
    if ((a <= b) && (a <= c)) {
        return a;
    }
    else if ((b <= a) && (b <= c)) {
        return b;
    }
    else {
        return c;
    }
}```",227,"[assert(min_of_three(10, 20, 0) == 0);, assert(min_of_three(19, 15, 18) == 15);, assert(min_of_three(-10, -20, -30) == -30);]"
234,This is  a C++ function to set all even bits of a given number.,"```
#include <iostream>

std::pair<int, int> even_bit_set_number(int n) {
    int count = 0, res = 0, temp = n;
    while (temp > 0) {
        if (count % 2 == 1) {
            res |= (1 << count);
        }
        count++;
        temp >>= 1;
    }
    return {n | res, res};
}
```",235,"[assert(even_bit_set_number(10) == 10);, assert(even_bit_set_number(20) == 30);, assert(even_bit_set_number(30) == 30);]"
281,This is  a function to substaract two lists using map and lambda function.,"```
#include <cassert>
#include <vector>

std::vector<int> sub_list(const std::vector<int>& a, const std::vector<int>& b) {
    std::vector<int> result;
    for (size_t i = 0; i < a.size(); ++i) {
        result.push_back(a[i] - b[i]);
    }
    return result;
}```",282,"[assert((sub_list({ 1, 2, 3 }, { 4, 5, 6 }) == std::vector<int>{-3, -3, -3}));, assert((sub_list({ 1, 2 }, { 3, 4 }) == std::vector<int>{-2, -2}));, assert((sub_list({ 90, 120 }, { 50, 70 }) == std::vector<int>{40, 50}));]"
283,This is  a function to check whether all items of a list are equal to a given string.,"```
#include <cassert>
#include <vector>
#include <string>

bool check_element(const std::vector<std::string>& vec, const std::string& element) {
    return std::find(vec.begin(), vec.end(), element) != vec.end();
}

bool check_element(const std::vector<int>& vec, int element) {
    return std::find(vec.begin(), vec.end(), element) != vec.end();
}```",284,"[assert(check_element({ ""green"", ""orange"", ""black"", ""white"" }, ""blue"") == false);, assert(check_element({ 1, 2, 3, 4 }, 7) == false);, assert(check_element({ ""green"", ""green"", ""green"", ""green"" }, ""green"") == true);]"
306,This is  a function to get a colon of a tuple.,"```
#include <iostream>
#include <vector>
#include <variant>
#include <string>
#include <cassert>

using namespace std;

// Define a variant type to support different types in the tuple
using TupleElement = variant<string, int, vector<int>, bool>;
using Tuple = vector<TupleElement>;

// Function to modify the tuple at the given index
Tuple colon_tuplex(Tuple tuplex, int m, int n) {
    if (m >= 0 && m < tuplex.size() && holds_alternative<vector<int>>(tuplex[m])) {
        vector<int> newList = get<vector<int>>(tuplex[m]); // Copy the vector
        newList.push_back(n); // Modify the copy
        tuplex[m] = newList; // Store the modified vector back
    }
    return tuplex;
}

// Helper function to compare two tuples (vectors of std::variant)
bool tuples_are_equal(const Tuple& t1, const Tuple& t2) {
    if (t1.size() != t2.size()) return false;
    
    for (size_t i = 0; i < t1.size(); i++) {
        if (t1[i].index() != t2[i].index()) return false; // Different types
        
        if (holds_alternative<string>(t1[i]) && get<string>(t1[i]) != get<string>(t2[i]))
            return false;
        if (holds_alternative<int>(t1[i]) && get<int>(t1[i]) != get<int>(t2[i]))
            return false;
        if (holds_alternative<vector<int>>(t1[i]) && get<vector<int>>(t1[i]) != get<vector<int>>(t2[i]))
            return false;
        if (holds_alternative<bool>(t1[i]) && get<bool>(t1[i]) != get<bool>(t2[i]))
            return false;
    }
    
    return true;
}```",307,"[assert(tuples_are_equal( colon_tuplex({""HELLO"", 5, vector<int>{}, true}, 2, 50), {""HELLO"", 5, vector<int>{50}, true} ));, assert(tuples_are_equal( colon_tuplex({""HELLO"", 5, vector<int>{}, true}, 2, 100), {""HELLO"", 5, vector<int>{100}, true} ));, assert(tuples_are_equal( colon_tuplex({""HELLO"", 5, vector<int>{}, true}, 2, 500), {""HELLO"", 5, vector<int>{500}, true} ));]"
308,This is  a C++ function to find the maximum of two numbers.,"```
int maximum(int a, int b) {   
    if (a >= b) 
        return a; 
    else 
        return b; 
}
```",309,"[assert(maximum(5, 10) == 10);, assert(maximum(-1, -2) == -1);, assert(maximum(9, 7) == 9);]"
373,This is  a function to print all permutations of a given string including duplicates.,"```
#include <iostream>
#include <vector>
#include <string>
#include <algorithm>

std::vector<std::string> permute_string(const std::string& str) {
    if (str.length() == 0) {
        return { """" };
    }
    std::vector<std::string> prev_list = permute_string(str.substr(1));
    std::vector<std::string> next_list;
    for (const auto& s : prev_list) {
        for (size_t j = 0; j <= str.length(); ++j) {
            std::string new_str = s.substr(0, j) + str[0] + s.substr(j);
            if (std::find(next_list.begin(), next_list.end(), new_str) == next_list.end()) {
                next_list.push_back(new_str);
            }
        }
    }
    return next_list;
}```",374,"[assert((permute_string(""ab"") == std::vector<std::string>{""ab"", ""ba""}));, assert((permute_string(""abc"") == std::vector<std::string>{""abc"", ""bac"", ""bca"", ""acb"", ""cab"", ""cba""}));, assert((permute_string(""abcd"") == std::vector<std::string>{""abcd"", ""bacd"", ""bcad"", ""bcda"", ""acbd"", ""cabd"", ""cbad"", ""cbda"", ""acdb"", ""cadb"", ""cdab"", ""cdba"", ""abdc"", ""badc"", ""bdac"", ""bdca"", ""adbc"", ""dabc"", ""dbac"", ""dbca"", ""adcb"", ""dacb"", ""dcab"", ""dcba""}));]"
383,This is  a C++ function to find the frequency of the smallest value in a given array.,"```
#include <cassert>
#include <vector>
#include <algorithm>

int frequency_Of_Smallest(int n, const std::vector<int>& arr) {
    int min_value = *std::min_element(arr.begin(), arr.end());
    return std::count(arr.begin(), arr.end(), min_value);
}```",384,"[assert(frequency_Of_Smallest(5, {1, 2, 3, 4, 3}) == 1);, assert(frequency_Of_Smallest(7, {3, 1, 2, 5, 6, 2, 3}) == 1);, assert(frequency_Of_Smallest(7, {3, 3, 6, 3, 7, 4, 9}) == 3);]"
387,This is  a C++ function to find the highest power of 2 that is less than or equal to n.,"```
int highest_Power_of_2(int n) { 
    int res = 0; 
    for (int i = n; i > 0; --i) { 
        if ((i & (i - 1)) == 0) { 
            res = i; 
            break; 
        } 
    } 
    return res; 
}
```",388,"[assert(highest_Power_of_2(10) == 8);, assert(highest_Power_of_2(19) == 16);, assert(highest_Power_of_2(32) == 32);]"
395,This is  a function to check whether the given string starts and ends with the same character or not using regex.,"```
#include <iostream>
#include <regex>
#include <string>

std::string check_char(const std::string& str) {
    std::regex regex(""^[a-z]$|^([a-z]).*\\1$"");
    if (std::regex_search(str, regex)) {
        return ""Valid"";
    } else {
        return ""Invalid"";
    }
}
```",396,"[assert(check_char(""abba"") == ""Valid"");, assert(check_char(""a"") == ""Valid"");, assert(check_char(""abcd"") == ""Invalid"");]"
409,This is  a function to find the minimum value in a given heterogeneous list.,"```
#include <iostream>
#include <vector>
#include <variant>
#include <cassert>
#include <stdexcept>
#include <algorithm>

using namespace std;

int minVal(const vector<variant<string, int>>& listVal) {
    vector<int> integers;

    for (const auto& item : listVal) {
        if (holds_alternative<int>(item)) {
            integers.push_back(get<int>(item));
        }
    }

    if (integers.empty()) {
        throw runtime_error(""No integers found""); // Handle the case where no integers exist
    }

    return *min_element(integers.begin(), integers.end());
}```",410,"[assert(minVal({ ""Python"", 3, 2, 4, 5, ""version"" }) == 2);, assert(minVal({ ""Python"", 15, 20, 25 }) == 15);, assert(minVal({ ""Python"", 30, 20, 40, 50, ""version"" }) == 20);]"
410,This is  a function to convert the given snake case string to camel case string by using regex.,"```
#include <iostream>
#include <string>
#include <sstream>
#include <cctype>
#include <cassert>

using namespace std;

// Function to capitalize the first character of a string
string capitalize(const string& str) {
    if (str.empty()) {
        return str;
    }
    string result = str;
    result[0] = toupper(result[0]);
    return result;
}

// Function to convert snake_case to camelCase
string snakeToCamel(const string& word) {
    stringstream ss;
    bool capitalizeNext = false;

    for (char c : word) {
        if (c == '_') {
            capitalizeNext = true;
        }
        else {
            if (capitalizeNext) {
                ss << static_cast<char>(toupper(c));
                capitalizeNext = false;
            }
            else {
                ss << c;
            }
        }
    }

    // Capitalize the first letter of the result
    string result = ss.str();
    if (!result.empty()) {
        result[0] = toupper(result[0]);
    }

    return result;
}```",411,"[assert(snakeToCamel(""android_tv"") == ""AndroidTv"");, assert(snakeToCamel(""google_pixel"") == ""GooglePixel"");, assert(snakeToCamel(""apple_watch"") == ""AppleWatch"");]"
425,This is  a function to filter odd numbers using lambda function.,"```
#include <vector>
#include <cassert>

std::vector<int> filter_oddnumbers(const std::vector<int> numbers) {
    std::vector<int> result;
    for (int num : numbers) {
        if (num % 2 != 0) {
            result.push_back(num);
        }
    }
    return result;
}```",426,"[assert(filter_oddnumbers({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}) == std::vector<int>{1, 3, 5, 7, 9});, assert(filter_oddnumbers({10, 20, 45, 67, 84, 93}) == std::vector<int>{45, 67, 93});, assert(filter_oddnumbers({5, 7, 9, 8, 6, 4, 3}) == std::vector<int>{5, 7, 9, 3});]"
448,This is  a C++ function to check whether the triangle is valid or not if 3 points are given.,"```
#include <iostream>

std::string check_Triangle(double x1, double y1, double x2, double y2, double x3, double y3) { 
    double a = (x1 * (y2 - y3) + x2 * (y3 - y1) + x3 * (y1 - y2));   
    if (a == 0) { 
        return ""No""; 
    } else { 
        return ""Yes""; 
    }
}
```",449,"[assert(check_Triangle(1, 5, 2, 5, 4, 6) == ""Yes"");, assert(check_Triangle(1, 1, 1, 4, 1, 5) == ""No"");, assert(check_Triangle(1, 1, 1, 1, 1, 1) == ""No"");]"
450,This is  a function to remove all whitespaces from the given string using regex.,"```

#include <string>
#include <algorithm>
#include <cctype>
#include <cassert>

std::string remove_whitespaces(const std::string& str) {
    std::string result;
    std::remove_copy_if(str.begin(), str.end(), std::back_inserter(result), ::isspace);
    return result;
}```",451,"[assert(remove_whitespaces("" Google    Flutter "") == ""GoogleFlutter"");, assert(remove_whitespaces("" Google    Dart "") == ""GoogleDart"");, assert(remove_whitespaces("" iOS    Swift "") == ""iOSSwift"");]"
465,This is  a function to find the peak element in the given array.,"```
#include <vector>

int find_peak_util(const std::vector<int>& arr, int low, int high, int n) {
    int mid = low + (high - low) / 2;
    
    if ((mid == 0 || arr[mid - 1] <= arr[mid]) &&
        (mid == n - 1 || arr[mid + 1] <= arr[mid])) {
        return mid;
    } else if (mid > 0 && arr[mid - 1] > arr[mid]) {
        return find_peak_util(arr, low, mid - 1, n);
    } else {
        return find_peak_util(arr, mid + 1, high, n);
    }
}

int find_peak(const std::vector<int>& arr, int n) {
    return find_peak_util(arr, 0, n - 1, n);
}
```",466,"[assert(find_peak({1, 3, 20, 4, 1, 0}, 6) == 2);, assert(find_peak({2, 3, 4, 5, 6}, 5) == 4);, assert(find_peak({8, 9, 11, 12, 14, 15}, 6) == 5);]"
478,This is  a C++ function to find the first digit of a given number.,"```
int first_Digit(int n) {
    while (n >= 10) {
        n = n / 10;
    }
    return n;
}
```",479,"[assert(first_Digit(123) == 1);, assert(first_Digit(456) == 4);, assert(first_Digit(12) == 1);]"
485,This is  a function to compute binomial probability for the given number.,"```

#include <iostream>
#include <cmath>
#include <cassert>

using namespace std;

// Function to calculate nCr
long nCr(int n, int r) {
    if (r > n / 2) {
        r = n - r;
    }
    long answer = 1;
    for (int i = 1; i <= r; i++) {
        answer *= (n - r + i);
        answer /= i;
    }
    return answer;
}

// Function to calculate binomial probability
double binomialProbability(int n, int k, double p) {
    return (nCr(n, k) * pow(p, k) * pow(1 - p, n - k));
}```",486,"[assert(abs(binomialProbability(10, 5, 1.0 / 3) - 0.13656454808718185) < 1e-9);, assert(abs(binomialProbability(11, 6, 2.0 / 4) - 0.2255859375) < 1e-9);, assert(abs(binomialProbability(12, 7, 3.0 / 5) - 0.227030335488) < 1e-9);]"
489,This is  a function to extract all the pairs which are symmetric in the given tuple list.,"```
#include <iostream>
#include <set>
#include <vector>
#include <utility>
#include <cassert>

using namespace std;

set<pair<int, int>> extractSymmetric(const vector<pair<int, int>>& pairs) {
    set<pair<int, int>> result;
    set<pair<int, int>> seen;

    for (const auto& p : pairs) {
        pair<int, int> symmetric = { p.second, p.first };
        if (seen.count(symmetric)) {
            result.insert({ min(p.first, p.second), max(p.first, p.second) });
        }
        else {
            seen.insert(p);
        }
    }

    return result;
}```",490,"[assert((extractSymmetric({ {6, 7}, {2, 3}, {7, 6}, {9, 8}, {10, 2}, {8, 9} }) == set<pair<int, int>>{ {6, 7}, { 8, 9 }}));, assert((extractSymmetric({ {7, 8}, {3, 4}, {8, 7}, {10, 9}, {11, 3}, {9, 10} }) == set<pair<int, int>>{ {7, 8}, { 9, 10 }}));, assert((extractSymmetric({ {8, 9}, {4, 5}, {9, 8}, {11, 10}, {12, 4}, {10, 11} }) == set<pair<int, int>>{ {8, 9}, { 10, 11 }}));]"
510,This is  a C++ function to find minimum sum of factors of a given number.,"```
#include <iostream>

std::pair<int, int> find_Min_Sum(int num) {
    int sum = 0;
    int i = 2;
    while (i * i <= num) {
        while (num % i == 0) {
            sum += i;
            num /= i;
        }
        i += 1;
    }
    sum += num;
    return { sum, 0 }; // Assuming you want to return a second value as 0
}```",511,"[assert(find_Min_Sum(12).first == 7);, assert(find_Min_Sum(105).first == 15);, assert(find_Min_Sum(2).first == 2);]"
524,This is  a C++ function to check whether two given lines are parallel or not.,"```
#include <cassert>
#include <utility>
#include <cmath>

// Function to determine if two lines are parallel
bool parallel_lines(std::pair<double, double> line1, std::pair<double, double> line2) {
    // Avoid division by zero by using cross multiplication to compare slopes
    return std::abs(line1.first * line2.second - line2.first * line1.second) < 1e-9;
}```",525,"[assert(parallel_lines({ 2, 3 }, { 4, 6 }) == true);, assert(parallel_lines({ 2, 3 }, { 4, -6 }) == false);, assert(parallel_lines({ 3, 3 }, { 5, 5 }) == true);  ]"
