Unnamed: 0,text,code,task_id,modified
12,This is  a function to count the most common words in a dictionary.,"#include <iostream>
#include <vector>
#include <string>
#include <map>
#include <algorithm>
#include <cassert>

using namespace std;

vector<pair<string, int>> countCommon(const vector<string>& words) {
    map<string, int> wordCounts;

    for (const string& word : words) {
        wordCounts[word]++;
    }

    vector<pair<string, int>> result(wordCounts.begin(), wordCounts.end());

    // Sort by frequency descending, then lexicographically by key if counts are equal
    sort(result.begin(), result.end(), [](const pair<string, int>& a, const pair<string, int>& b) {
        if (a.second == b.second) return a.first < b.first;
        return a.second > b.second;
        });

    if (result.size() > 4) {
        result.resize(4);
    }

    return result;
}

// Helper function to assert vector of pairs equality
void assertEqual(const vector<pair<string, int>>& actual, const vector<pair<string, int>>& expected, const string& message) {
    if (actual != expected) {
        cerr << message << endl;
        exit(1);
  ",13,"[ assertEqual(countCommon({ ""one"", ""two"", ""three"", ""four"", ""five"",
                              ""one"", ""two"", ""one"", ""three"", ""one"" }),
        { {""one"", 4}, {""two"", 2}, {""three"", 2}, {""four"", 1} },
        ""Test 2 failed"");,

    assertEqual(countCommon({ ""Facebook"", ""Apple"", ""Amazon"", ""Netflix"",
                              ""Google"", ""Apple"", ""Netflix"", ""Amazon"" }),
        { {""Apple"", 2}, {""Amazon"", 2}, {""Netflix"", 2}, {""Facebook"", 1} },
        ""Test 3 failed"");]"
13,This is  a C++ function to find the volume of a triangular prism.,"```
#include <iostream>
using namespace std;

pair<double, double> find_Volume(double l, double b, double h) {
    return make_pair((l * b * h) / 2, 0);
}
```",14,"[assert(find_Volume(10, 8, 6) == 240);, assert(find_Volume(3, 2, 2) == 6);, assert(find_Volume(1, 2, 1) == 1);]"
14,This is  a function to split a string at lowercase letters.,"```
#include <iostream>
#include <vector>
#include <regex>
#include <string>

std::vector<std::string> splitLowerString(const std::string& text) {
    std::vector<std::string> result;
    std::regex pattern(""([a-z][^a-z]*)"");
    auto wordsBegin = std::sregex_iterator(text.begin(), text.end(), pattern);
    auto wordsEnd = std::sregex_iterator();

    for (std::sregex_iterator it = wordsBegin; it != wordsEnd; ++it) {
        result.push_back(it->str());
    }

    return result;
}```",15,"[assert((splitLowerString(""AbCd"") == std::vector<std::string>{""bC"", ""d""}));, assert((splitLowerString(""C++"") == std::vector<std::string>{""y"", ""t"", ""h"", ""o"", ""n""}));, assert((splitLowerString(""Programming"") == std::vector<std::string>{""r"", ""o"", ""g"", ""r"", ""a"", ""m"", ""m"", ""i"", ""n"", ""g""}));]"
15,This is  a function to find sequences of lowercase letters joined with an underscore.,"```
#include <iostream>
#include <regex>
#include <string>

std::string text_lowercase_underscore(const std::string& text) {
    std::regex patterns(""^[a-z]+_[a-z]+$"");
    if (std::regex_search(text, patterns)) {
        return ""Found a match!"";
    } else {
        return ""Not matched!"";
    }
}
```",16,"[assert(text_lowercase_underscore(""aab_cbbbc"") == ""Found a match!"");, assert(text_lowercase_underscore(""aab_Abbbc"") == ""Not matched!"");, assert(text_lowercase_underscore(""Aaab_abbbc"") == ""Not matched!"");]"
16,This is  a function to find the perimeter of a square.,"```
#include <iostream>
using namespace std;

pair<int, int> square_perimeter(int a) {
    int perimeter = 4 * a;
    return make_pair(perimeter, perimeter);
}
```",17,"[assert(square_perimeter(10).first == 40);, assert(square_perimeter(5).first == 20);, assert(square_perimeter(4).first == 16);]"
17,This is  a function to remove characters from the first string which are present in the second string.,"```
#include <iostream>
#include <string>
#include <vector>

const int NO_OF_CHARS = 256;

std::vector<char> str_to_list(const std::string& str) {
    std::vector<char> temp;
    for (char x : str) {
        temp.push_back(x);
    }
    return temp;
}

std::string lst_to_string(const std::vector<char>& list) {
    return std::string(list.begin(), list.end());
}

int* get_char_count_array(const std::string& str) {
    int* count = new int[NO_OF_CHARS] {0}; 
    for (char i : str) {
        count[static_cast<int>(i)]++;
    }
    return count;
}

std::string remove_dirty_chars(const std::string& string, const std::string& second_string) {
    int* count = get_char_count_array(second_string);
    int ip_ind = 0;
    int res_ind = 0;
    std::string temp;
    std::vector<char> str_list = str_to_list(string);
    
    while (ip_ind != str_list.size()) {
        temp = str_list[ip_ind];
        if (count[static_cast<int>(temp[0])] == 0) {
            str_list[res_ind] = str_list[ip_ind];
            res_ind++;
        }
        ip_ind++;
    }
    delete[] count;
    return lst_to_string(std::vector<char>(str_list.begin(), str_list.begin() + res_ind));
}
```",18,"[assert(remove_dirty_chars(""probasscurve"", ""pros"") == ""bacuve"");, assert(remove_dirty_chars(""digitalindia"", ""talent"") == ""digiidi"");, assert(remove_dirty_chars(""exoticmiles"", ""toxic"") == ""emles"");]"
18,This is  a function to find whether a given array of integers contains any duplicate element.,"```
#include <vector>
#include <unordered_set>

std::pair<bool, bool> test_duplicate(const std::vector<int>& arraynums) {
    std::unordered_set<int> nums_set(arraynums.begin(), arraynums.end());
    return std::make_pair(arraynums.size() != nums_set.size(), false);
}
```",19,"[assert(test_duplicate({ 1, 2, 3, 4, 5 }).first == false);, assert(test_duplicate({ 1, 2, 3, 4, 4 }).first == true);, assert(test_duplicate({ 1, 1, 2, 2, 3, 3, 4, 4, 5 }).first == true);]"
19,This is  a function to check if the given number is woodball or not.,"```
#include <iostream>

bool is_woodall(int x) {
    if (x % 2 == 0) {
        return false;
    }
    if (x == 1) {
        return true;
    }
    x = x + 1;
    int p = 0;
    while (x % 2 == 0) {
        x = x / 2;
        p = p + 1;
        if (p == x) {
            return true;
        }
    }
    return false;
}
```",20,"[assert(is_woodall(383) == true);, assert(is_woodall(254) == false);, assert(is_woodall(200) == false);]"
20,This is  a function to find m number of multiples of n.,"```
#include <vector>

std::vector<int> multiples_of_num(int m, int n) {
    std::vector<int> multiples;
    for (int i = 1; i <= m; ++i) {
        multiples.push_back(i * n);
    }
    return multiples;
}
```",21,"[assert((multiples_of_num(4, 3) == std::vector<int>{3, 6, 9, 12})); // 4 multiples of 3, assert((multiples_of_num(2, 5) == std::vector<int>{5, 10}));       // 2 multiples of 5, assert((multiples_of_num(9, 2) == std::vector<int>{2, 4, 6, 8, 10, 12, 14, 16, 18})); // 9 multiples of 2]"
21,This is  a function to find the first duplicate element in a given array of integers.,"```
#include <vector>
#include <unordered_set>

int find_first_duplicate(const std::vector<int>& nums) {
    std::unordered_set<int> num_set;
    int no_duplicate = -1;

    for (size_t i = 0; i < nums.size(); ++i) {
        if (num_set.find(nums[i]) != num_set.end()) {
            return nums[i];
        } else {
            num_set.insert(nums[i]);
        }
    }

    return no_duplicate;
}
```",22,"[assert(find_first_duplicate({1, 2, 3, 4, 4, 5}) == 4);, assert(find_first_duplicate({1, 2, 3, 4}) == -1);, assert(find_first_duplicate({1, 1, 2, 3, 3, 2, 2}) == 1);]"
22,This is  a C++ function to find the maximum sum of elements of list in a list of lists.,"```
#include <vector>
#include <algorithm>
#include <limits>

// Function to compute the maximum row sum
int maximum_Sum(const std::vector<std::vector<int>>& list1) {
    int maxi = std::numeric_limits<int>::min(); // Set to the smallest possible value
    for (const auto& x : list1) {
        int sum = 0;
        for (int y : x) {
            sum += y; // Sum each row
        }
        maxi = std::max(sum, maxi); // Update the maximum sum
    }
    return maxi;
}```",23,"[assert(maximum_Sum({ {1, 2, 3}, {4, 5, 6}, {10, 11, 12}, {7, 8, 9} }) == 33); // Row with 10, 11, 12, assert(maximum_Sum({ {0, 1, 1}, {1, 1, 2}, {3, 2, 1} }) == 6);               // Row with 3, 2, 1, assert(maximum_Sum({ {0, 1, 3}, {1, 2, 1}, {9, 8, 2}, {0, 1, 0}, {6, 4, 8} }) == 19); // Row with 6, 4, 8]"
23,This is  a function to convert the given binary number to its decimal equivalent.,"```
#include <iostream>
#include <cmath>

int binary_to_decimal(int binary) {
    int decimal = 0, i = 0;
    while (binary != 0) {
        int dec = binary % 10;
        decimal = decimal + dec * pow(2, i);
        binary = binary / 10;
        i++;
    }
    return decimal;
}
```",24,"[assert(binary_to_decimal(100) == 4);, assert(binary_to_decimal(1011) == 11);, assert(binary_to_decimal(1101101) == 109);]"
24,This is  a C++ function to find the product of non-repeated elements in a given array.,"```
#include <iostream>
#include <vector>
#include <algorithm>

int find_Product(std::vector<int> arr) {
    std::sort(arr.begin(), arr.end());
    int prod = 1;
    for (size_t i = 0; i < arr.size(); i++) {
        if (i == 0 || arr[i - 1] != arr[i]) { // Avoid out-of-bounds and handle duplicates
            prod *= arr[i];
        }
    }
    return prod;
}```",25,"[assert(find_Product(std::vector<int>{1, 1, 2, 3}) == 6);, assert(find_Product(std::vector<int>{1, 2, 3, 1, 1}) == 6);, assert(find_Product(std::vector<int>{1, 1, 4, 5, 6}) == 120);]"
25,This is  a function to check if the given tuple list has all k elements.,"```
#include <iostream>
#include <vector>
#include <cassert>

using namespace std;

// Tuple class definition
template <typename T>
class Tuple {
private:
    T value;
public:
    Tuple(T value) : value(value) {}

    T getValue() const {
        return value;
    }

    void setValue(T value) {
        this->value = value;
    }

    friend ostream& operator<<(ostream& os, const Tuple<T>& tuple) {
        os << tuple.value;
        return os;
    }
};

// Check if each element in the list of tuples equals K
Tuple<bool> checkKElements(const vector<Tuple<int>>& testList, int K) {
    for (const Tuple<int>& tup : testList) {
        if (tup.getValue() != K) {
            return Tuple<bool>(false);
        }
    }
    return Tuple<bool>(true);
}

// Convert 2D array to list of Tuples
vector<Tuple<int>> arrayToTupleList(const vector<vector<int>>& inputArray) {
    vector<Tuple<int>> tupleList;
    for (const auto& row : inputArray) {
        for (int val : row) {
            tupleList.emplace_back(val);
        }
    }
    return tupleList;
}```",26,"[assert(checkKElements(arrayToTupleList({ {4, 4}, {4, 4, 4}, {4, 4}, {4, 4, 4, 4}, {4} }), 4).getValue() == true);, assert(checkKElements(arrayToTupleList({ {7, 7, 7}, {7, 7} }), 7).getValue() == true);, assert(checkKElements(arrayToTupleList({ {9, 9}, {9, 9, 9, 9} }), 7).getValue() == false);]"
26,This is  a C++ function to remove all digits from a list of strings.,"```
#include <vector>
#include <string>
#include <regex>

std::vector<std::string> remove(const std::vector<std::string>& list) {
    std::regex pattern(""[0-9]"");
    std::vector<std::string> result;
    
    for (const auto& i : list) {
        result.push_back(std::regex_replace(i, pattern, """"));
    }
    
    return result;
}
```",27,"[assert((remove({ ""4words"", ""3letters"", ""4digits"" }) == std::vector<std::string>{""words"", ""letters"", ""digits""}));, assert((remove({ ""28Jan"", ""12Jan"", ""11Jan"" }) == std::vector<std::string>{""Jan"", ""Jan"", ""Jan""}));, assert((remove({ ""wonder1"", ""wonder2"", ""wonder3"" }) == std::vector<std::string>{""wonder"", ""wonder"", ""wonder""}));]"
27,This is  a C++ function to find binomial co-efficient.,"```
#include <iostream>
using namespace std;

int binomial_Coeff(int n, int k) {
    if (k > n) {
        return 0;
    }
    if (k == 0 || k == n) {
        return 1;
    }
    return binomial_Coeff(n - 1, k - 1) + binomial_Coeff(n - 1, k);
}
```",28,"[assert(binomial_Coeff(5, 2) == 10);, assert(binomial_Coeff(4, 3) == 4);, assert(binomial_Coeff(3, 2) == 3);]"
28,This is  a C++ function to find the element occurring odd number of times.,"```
#include <cassert>
#include <vector>
#include <iostream>
using namespace std;

int get_Odd_Occurrence(const vector<int>& arr) {
    int arr_size = arr.size();
    for (int i = 0; i < arr_size; i++) {
        int count = 0;
        for (int j = 0; j < arr_size; j++) {
            if (arr[i] == arr[j]) {
                count++;
            }
        }
        if (count % 2 != 0) {
            return arr[i];
        }
    }
    return -1; // Return -1 if no odd occurrence is found
}
```",29,"[assert(get_Odd_Occurrence({ 1, 2, 3, 1, 2, 3, 1 }) == 1); // 1 occurs 3 times (odd), assert(get_Odd_Occurrence({ 1, 2, 3, 2, 3, 1, 3 }) == 3); // 3 occurs 3 times (odd), assert(get_Odd_Occurrence({ 2, 3, 5, 4, 5, 2, 4, 3, 5, 2, 4, 4, 2 }) == 5); // 5 occurs 3 times (odd)]"
29,This is  a C++ function to count all the substrings starting and ending with same characters.,"```
#include <iostream>
#include <string>

bool check_Equality(const std::string& s) {
    return (s[0] == s[s.length() - 1]);
}

int count_Substring_With_Equal_Ends(const std::string& s) {
    int result = 0;
    int n = s.length();
    for (int i = 0; i < n; ++i) {
        for (int j = 1; j <= n - i; ++j) {
            if (check_Equality(s.substr(i, j))) {
                result++;
            }
        }
    }
    return result;
}
```",30,"[assert(count_Substring_With_Equal_Ends(""abc"") == 3);, assert(count_Substring_With_Equal_Ends(""abcda"") == 6);, assert(count_Substring_With_Equal_Ends(""ab"") == 2);]"
30,This is  a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.,"```
#include <iostream>
#include <vector>
#include <map>
#include <queue>
#include <algorithm>
#include <cassert>

using namespace std;

vector<int> func(const vector<vector<int>>& nums, int k) {
    map<int, int> freqMap;

    // Count frequency of each element
    for (const auto& row : nums) {
        for (int num : row) {
            freqMap[num]++;
        }
    }

    // Min-heap to store the top k elements (frequency, element)
    using Pair = pair<int, int>;
    auto comp = [](const Pair& a, const Pair& b) { return a.first > b.first; }; // Min-heap based on frequency
    priority_queue<Pair, vector<Pair>, decltype(comp)> minHeap(comp);

    for (const auto& entry : freqMap) {
        int value = entry.first;
        int frequency = entry.second;

        if (minHeap.size() < k) {
            minHeap.emplace(frequency, value);
        }
        else if (frequency > minHeap.top().first) {
            minHeap.pop();
            minHeap.emplace(frequency, value);
        }
    }

    // Extract elements from the heap and prepare the result in descending order
    vector<int> result;
    while (!minHeap.empty()) {
        result.push_back(minHeap.top().second);
        minHeap.pop();
    }
    reverse(result.begin(), result.end());

    return result;
}```",31,"[assert((func({ {1, 2, 6}, {1, 3, 4, 5, 7, 8}, {1, 3, 5, 6, 8, 9}, {2, 5, 7, 11}, {1, 4, 7, 8, 12} }, 3) == vector<int>{1, 7, 5}));, assert(func({ {1, 2, 6}, {1, 3, 4, 5, 7, 8}, {1, 3, 5, 6, 8, 9}, {2, 5, 7, 11}, {1, 4, 7, 8, 12} }, 1) == vector<int>{1});]"
31,This is  a C++ function to find the largest prime factor of a given number.,"```
#include <cmath>
#include <utility>

int max_Prime_Factors(int n) {
    int maxPrime = -1;

    // Divide by 2 as long as possible
    while (n % 2 == 0) {
        maxPrime = 2;
        n /= 2;
    }

    // Check for odd factors
    for (int i = 3; i <= std::sqrt(n); i += 2) {
        while (n % i == 0) {
            maxPrime = i;
            n /= i;
        }
    }

    // If n is a prime number greater than 2
    if (n > 2) {
        maxPrime = n;
    }

    return maxPrime;
}```",32,"[assert(max_Prime_Factors(15) == 5); // Prime factors: 3, 5 -> Max: 5, assert(max_Prime_Factors(6) == 3);  // Prime factors: 2, 3 -> Max: 3, assert(max_Prime_Factors(2) == 2);  // Prime factor: 2 -> Max: 2]"
32,This is  a C++ function to convert a decimal number to binary number.,"```
#include <iostream>
#include <cmath>

std::pair<int, int> decimal_To_Binary(int N) {
    int B_Number = 0;
    int cnt = 0;
    while (N != 0) {
        int rem = N % 2;
        int c = pow(10, cnt);
        B_Number += rem * c;
        N /= 2;
        cnt += 1;
    }
    return {B_Number, 0}; // Return a pair for compatibility with function signature
}
```",33,"[assert(decimal_To_Binary(10).first == 1010);, assert(decimal_To_Binary(1).first == 1);, assert(decimal_To_Binary(20).first == 10100);]"
33,This is  a C++ function to find the missing number in a sorted array.,"```
#include <vector>

int find_missing(std::vector<int> ar, int N) {
    int l = 0;
    int r = N - 1;
    while (l <= r) {
        int mid = (l + r) / 2;
        if (ar[mid] != mid + 1 && ar[mid - 1] == mid) {
            return mid + 1;
        }
        else if (ar[mid] != mid + 1) {
            r = mid - 1;
        }
        else {
            l = mid + 1;
        }
    }
    return -1;
}```",34,"[assert(find_missing({ 1, 2, 3, 5 }, 4) == 4);, assert(find_missing({ 1, 3, 4, 5 }, 4) == 2);, assert(find_missing({ 1, 2, 3, 5, 6, 7 }, 5) == 4);]"
34,This is  a function to find the n-th rectangular number.,"```
int find_rect_num(int n) {
    return n * (n + 1);
}
```",35,"[assert(find_rect_num(4) == 20);, assert(find_rect_num(5) == 30);, assert(find_rect_num(6) == 42);]"
35,This is  a C++ function to find the nth digit in the proper fraction of two given numbers.,"```
int find_Nth_Digit(int p, int q, int N) {
    int res = 0;
    while (N > 0) {
        N -= 1;
        p *= 10;
        res = p / q;
        p %= q;
    }
    return res;
}```",36,"[assert(find_Nth_Digit(1, 2, 1) == 5);, assert(find_Nth_Digit(3, 5, 1) == 6);, assert(find_Nth_Digit(5, 6, 5) == 3);]"
36,This is  a function to sort a given mixed list of integers and strings.,"```
#include <iostream>
#include <vector>
#include <string>
#include <algorithm>
#include <cassert>

using namespace std;

// Function to sort mixed list of integers and strings
vector<string> sortMixedList(const vector<string>& mixedList) {
    vector<int> intPart;
    vector<string> strPart;

    // Split integers and strings
    for (const auto& item : mixedList) {
        try {
            int number = stoi(item);  // Convert to integer if possible
            intPart.push_back(number);
        }
        catch (invalid_argument&) {
            strPart.push_back(item);  // Treat as a string
        }
    }

    // Sort the integer and string parts
    sort(intPart.begin(), intPart.end());
    sort(strPart.begin(), strPart.end());

    // Merge results back into one list
    vector<string> result;
    for (const int num : intPart) {
        result.push_back(to_string(num));
    }
    result.insert(result.end(), strPart.begin(), strPart.end());

    return result;
}```",37,"[assert((sortMixedList({ ""19"", ""red"", ""12"", ""green"", ""blue"", ""10"", ""white"", ""green"", ""1"" }) == vector<string>{""1"", ""10"", ""12"", ""19"", ""blue"", ""green"", ""green"", ""red"", ""white""}));]"
37,This is  a function to find the division of first even and odd number of a given list.,"```
#include <vector>
#include <iostream>

std::pair<double, double> div_even_odd(const std::vector<int>& list1) {
    int first_even = -1;
    int first_odd = -1;

    for (const auto& el : list1) {
        if (el % 2 == 0 && first_even == -1) {
            first_even = el;
        }
        if (el % 2 != 0 && first_odd == -1) {
            first_odd = el;
        }
        if (first_even != -1 && first_odd != -1) {
            break;
        }
    }

    return {static_cast<double>(first_even) / first_odd, 0}; // The second value is a placeholder, not used.
}
```",38,"[assert(div_even_odd({ 1, 3, 5, 7, 4, 1, 6, 8 }).first == 4);, assert(div_even_odd({ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 }).first == 2);, assert(div_even_odd({ 1, 5, 7, 9, 10 }).first == 10);]"
38,This is  a function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.,"```
#include <iostream>
#include <string>
#include <unordered_map>
#include <queue>
#include <cassert>

using namespace std;

// Define a Pair structure equivalent to the Java Pair class
struct Pair {
    int count;
    char character;

    Pair(int c, char ch) : count(c), character(ch) {}

    // Define comparison for priority queue (max-heap based on frequency)
    bool operator<(const Pair& other) const {
        return count < other.count;
    }
};

string rearrangeString(const string& S) {
    unordered_map<char, int> counter;

    // Count character frequencies
    for (char c : S) {
        counter[c]++;
    }

    // Max-heap based on frequencies
    priority_queue<Pair> heap;
    for (const auto& entry : counter) {
        heap.emplace(entry.second, entry.first);
    }

    if (heap.top().count * 2 > S.length() + 1) {
        return """";  // Not possible to rearrange
    }

    string result;
    while (heap.size() >= 2) {
        Pair p1 = heap.top(); heap.pop();
        Pair p2 = heap.top(); heap.pop();

        result += p1.character;
        result += p2.character;

        if (--p1.count > 0) heap.push(p1);
        if (--p2.count > 0) heap.push(p2);
    }

    if (!heap.empty()) {
        result += heap.top().character;
    }

    return result;
}```",39,"[assert(rearrangeString(""aab"") == ""aba"");, assert(rearrangeString(""aabb"") == ""abab"");]"
39,This is  a function to find frequency of the elements in a given list of lists using collections module.,"```
#include <vector>
#include <unordered_map>
#include <algorithm>

std::unordered_map<int, int> freq_element(const std::vector<std::vector<int>>& nums) {
    std::unordered_map<int, int> result;
    for (const auto& vec : nums) {
        for (const auto& num : vec) {
            result[num]++;
        }
    }
    return result;
}```",40,"[assert(freq_element({ {1, 2, 3, 2}, {4, 5, 6, 2}, {7, 1, 9, 5} }) == (std::unordered_map<int, int>{ {2, 3}, { 1, 2 }, { 5, 2 }, { 3, 1 }, { 4, 1 }, { 6, 1 }, { 7, 1 }, { 9, 1 } }));, assert(freq_element({ {1, 2, 3, 4}, {5, 6, 7, 8}, {9, 10, 11, 12} }) == (std::unordered_map<int, int>{ {1, 1}, { 2, 1 }, { 3, 1 }, { 4, 1 }, { 5, 1 }, { 6, 1 }, { 7, 1 }, { 8, 1 }, { 9, 1 }, { 10, 1 }, { 11, 1 }, { 12, 1 } }));, assert(freq_element({ {15, 20, 30, 40}, {80, 90, 100, 110}, {30, 30, 80, 90} }) == (std::unordered_map<int, int>{ {30, 3}, { 80, 2 }, { 90, 2 }, { 15, 1 }, { 20, 1 }, { 40, 1 }, { 100, 1 }, { 110, 1 } }));]"
